町丁名,1999_変化率(%),1999_変化数,2000_変化率(%),2000_変化数,2001_変化率(%),2001_変化数,2002_変化率(%),2002_変化数,2003_変化率(%),2003_変化数,2004_変化率(%),2004_変化数,2005_変化率(%),2005_変化数,2006_変化率(%),2006_変化数,2007_変化率(%),2007_変化数,2008_変化率(%),2008_変化数,2009_変化率(%),2009_変化数,2010_変化率(%),2010_変化数,2011_変化率(%),2011_変化数,2012_変化率(%),2012_変化数,2013_変化率(%),2013_変化数,2014_変化率(%),2014_変化数,2015_変化率(%),2015_変化数,2016_変化率(%),2016_変化数,2017_変化率(%),2017_変化数,2018_変化率(%),2018_変化数,2019_変化率(%),2019_変化数,2020_変化率(%),2020_変化数,2021_変化率(%),2021_変化数,2022_変化率(%),2022_変化数,2023_変化率(%),2023_変化数,2024_変化率(%),2024_変化数,2025_変化率(%),2025_変化数
太郎迫町,-1.1527377521613833,-4,-2.3323615160349855,-8,-1.4925373134328357,-5,0.6060606060606061,2,0.9036144578313252,3,-0.2985074626865672,-1,-4.491017964071856,-15,-2.19435736677116,-7,-5.128205128205128,-16,-0.33783783783783783,-1,-0.6779661016949152,-2,-3.4129692832764507,-10,-0.35335689045936397,-1,-2.8368794326241136,-8,-0.7299270072992701,-2,-1.4705882352941175,-4,3.3582089552238807,9,0.0,0,-1.8050541516245486,-5,-0.3676470588235294,-1,-4.059040590405904,-11,-2.307692307692308,-6,2.7559055118110236,7,-2.681992337164751,-7,-1.1811023622047243,-3,-1.9920318725099602,-5,3.6585365853658534,9
奥古閑町,-1.9955654101995564,-36,0.056561085972850686,1,-0.6783493499152063,-12,-0.7398975526465565,-13,-0.17201834862385323,-3,-0.2871912693854107,-5,-0.9216589861751152,-16,-0.5813953488372093,-10,-0.6432748538011697,-11,-1.64802825191289,-28,0.3590664272890485,6,-1.7292784734645201,-29,-1.6990291262135921,-28,-3.2098765432098766,-52,-1.211734693877551,-19,-0.9683666881859263,-15,-0.651890482398957,-10,-1.4435695538057742,-22,0.3994673768308922,6,-2.6525198938992043,-40,-1.08991825613079,-16,0.7575757575757576,11,-0.888585099111415,-13,-2.8275862068965516,-41,-1.4194464158977997,-20,-2.159827213822894,-30,-1.9131714495952907,-26
妙体寺町,-2.2675736961451247,-10,-1.6241299303944314,-7,-5.4245283018867925,-23,0.24937655860349126,1,2.9850746268656714,12,-1.4492753623188406,-6,-4.411764705882353,-18,-0.2564102564102564,-1,-2.570694087403599,-10,1.3192612137203166,5,-0.5208333333333333,-2,-1.0471204188481675,-4,5.82010582010582,22,-1.25,-5,2.278481012658228,9,2.722772277227723,11,-0.24096385542168677,-1,3.3816425120772946,14,-4.205607476635514,-18,-1.707317073170732,-7,6.451612903225806,26,-5.827505827505827,-25,1.2376237623762376,5,-2.444987775061125,-10,-1.2531328320802004,-5,3.807106598984772,15,2.444987775061125,10
子飼本町,-0.4531722054380665,-3,1.8209408194233687,12,-3.7257824143070044,-25,0.9287925696594427,6,-1.9938650306748467,-13,0.9389671361502347,6,4.496124031007752,29,-5.489614243323442,-37,-2.9827315541601256,-19,-1.2944983818770228,-8,4.754098360655737,29,0.1564945226917058,1,-0.78125,-5,-3.622047244094488,-23,0.32679738562091504,2,-0.32573289902280134,-2,-0.6535947712418301,-4,-0.9868421052631579,-6,1.8272425249169437,11,-1.794453507340946,-11,-4.152823920265781,-25,-1.733102253032929,-10,1.5873015873015872,9,-0.3472222222222222,-2,-1.7421602787456445,-10,5.141843971631205,29,2.1922428330522767,13
孫代町,-3.549060542797495,-17,3.896103896103896,18,4.375,21,1.3972055888223553,7,2.559055118110236,13,-3.8387715930902107,-20,2.19560878243513,11,0.390625,2,3.11284046692607,16,-0.18867924528301888,-1,5.293005671077505,28,5.745062836624776,32,-3.395585738539898,-20,-1.5817223198594026,-9,2.142857142857143,12,0.5244755244755245,3,2.608695652173913,15,1.3559322033898304,8,3.678929765886288,22,-0.967741935483871,-6,-1.6286644951140066,-10,-0.9933774834437087,-6,2.0066889632107023,12,-3.934426229508197,-24,4.607508532423208,27,-1.468189233278956,-9,-1.490066225165563,-9
安政町,0.9009009009009009,1,-2.6785714285714284,-3,2.7522935779816518,3,4.464285714285714,5,0.0,0,-9.401709401709402,-11,3.7735849056603774,4,3.6363636363636362,4,5.263157894736842,6,2.5,3,-6.504065040650407,-8,0.0,0,0.0,0,-2.608695652173913,-3,-0.8928571428571428,-1,-8.108108108108109,-9,-0.9803921568627451,-1,-3.9603960396039604,-4,-6.185567010309279,-6,-1.098901098901099,-1,-7.777777777777778,-7,2.4096385542168677,2,-1.1764705882352942,-1,-8.333333333333332,-7,1.2987012987012987,1,-5.128205128205128,-4,-5.405405405405405,-4
室園町,0.3641660597232338,5,-0.43541364296081275,-6,1.0932944606413995,15,-2.3792357606344625,-33,-3.0280649926144756,-41,0.15232292460015232,2,3.954372623574144,52,1.1704462326261889,16,3.109182935647144,43,-3.6465638148667603,-52,-3.7845705967976713,-52,-1.361573373676248,-18,-2.223926380368098,-29,-2.588235294117647,-33,-3.140096618357488,-39,-0.914380714879468,-11,0.41946308724832215,5,-1.7543859649122806,-21,-1.1054421768707483,-13,-3.52536543422184,-41,-2.5846702317290555,-29,4.025617566331198,44,-1.8469656992084433,-21,1.2544802867383513,14,-0.17699115044247787,-2,-1.0638297872340425,-12,0.8064516129032258,9
宮内,3.8461538461538463,2,-3.7037037037037033,-2,-11.538461538461538,-6,-4.3478260869565215,-2,0.0,0,-2.272727272727273,-1,-9.30232558139535,-4,-7.6923076923076925,-3,-16.666666666666664,-6,0.0,0,-10.0,-3,3.7037037037037033,1,-17.857142857142858,-5,-17.391304347826086,-4,0.0,0,-10.526315789473683,-2,-11.76470588235294,-2,20.0,3,-16.666666666666664,-3,-13.333333333333334,-2,7.6923076923076925,1,-7.142857142857142,-1,-23.076923076923077,-3,0.0,0,0.0,0,0.0,0,0.0,0
小山町,4.84996510816469,278,1.5474209650582362,93,2.2120268720301492,135,1.7313241423533183,108,1.0872990860384493,69,-91.41075604053,-5864,-1.2704174228675136,-7,4.595588235294118,25,-2.8119507908611596,-16,-6.50994575045208,-36,-4.25531914893617,-22,-3.4343434343434343,-17,-6.066945606694561,-29,-1.3363028953229399,-6,0.2257336343115124,1,4.054054054054054,18,0.21645021645021645,1,2.591792656587473,12,17.05263157894737,81,5.0359712230215825,28,4.965753424657534,29,0.8156606851549755,5,7.281553398058252,45,6.787330316742081,45,0.9887005649717515,7,0.13986013986013987,1,-1.1173184357541899,-8
小峯１丁目,2.6465028355387523,14,0.7366482504604052,4,-1.0968921389396709,-6,-2.2181146025878005,-12,-0.5671077504725899,-3,1.520912547528517,8,2.6217228464419478,14,-3.102189781021898,-17,1.5065913370998116,8,1.4842300556586272,8,-2.1937842778793417,-12,0.5607476635514018,3,-0.929368029739777,-5,3.564727954971857,19,-0.36231884057971014,-2,-0.18181818181818182,-1,-0.546448087431694,-3,6.7765567765567765,37,-2.7444253859348198,-16,3.1746031746031744,18,-0.8547008547008548,-5,2.2413793103448274,13,5.227655986509275,31,-3.205128205128205,-20,-0.6622516556291391,-4,-0.6666666666666667,-4,4.530201342281879,27
