町丁名,1999_変化率(%)_異常値フラグ,1999_変化率(%)_Zスコア,2000_変化率(%)_異常値フラグ,2000_変化率(%)_Zスコア,2001_変化率(%)_異常値フラグ,2001_変化率(%)_Zスコア,2002_変化率(%)_異常値フラグ,2002_変化率(%)_Zスコア,2003_変化率(%)_異常値フラグ,2003_変化率(%)_Zスコア,2004_変化率(%)_異常値フラグ,2004_変化率(%)_Zスコア,2005_変化率(%)_異常値フラグ,2005_変化率(%)_Zスコア,2006_変化率(%)_異常値フラグ,2006_変化率(%)_Zスコア,2007_変化率(%)_異常値フラグ,2007_変化率(%)_Zスコア,2008_変化率(%)_異常値フラグ,2008_変化率(%)_Zスコア,2009_変化率(%)_異常値フラグ,2009_変化率(%)_Zスコア,2010_変化率(%)_異常値フラグ,2010_変化率(%)_Zスコア,2011_変化率(%)_異常値フラグ,2011_変化率(%)_Zスコア,2012_変化率(%)_異常値フラグ,2012_変化率(%)_Zスコア,2013_変化率(%)_異常値フラグ,2013_変化率(%)_Zスコア,2014_変化率(%)_異常値フラグ,2014_変化率(%)_Zスコア,2015_変化率(%)_異常値フラグ,2015_変化率(%)_Zスコア,2016_変化率(%)_異常値フラグ,2016_変化率(%)_Zスコア,2017_変化率(%)_異常値フラグ,2017_変化率(%)_Zスコア,2018_変化率(%)_異常値フラグ,2018_変化率(%)_Zスコア,2019_変化率(%)_異常値フラグ,2019_変化率(%)_Zスコア,2020_変化率(%)_異常値フラグ,2020_変化率(%)_Zスコア,2021_変化率(%)_異常値フラグ,2021_変化率(%)_Zスコア,2022_変化率(%)_異常値フラグ,2022_変化率(%)_Zスコア,2023_変化率(%)_異常値フラグ,2023_変化率(%)_Zスコア,2024_変化率(%)_異常値フラグ,2024_変化率(%)_Zスコア,2025_変化率(%)_異常値フラグ,2025_変化率(%)_Zスコア
花畑町,False,0.83898534611397,False,0.463971149557267,False,0.4612484713964023,False,0.8877994467244018,True,2.3611434499700983,False,1.5332727401918067,False,0.6381234651312789,False,0.013758553516357769,False,0.6685105056393387,False,0.15690503612585066,False,0.9204220073788866,False,0.03877234849708626,False,1.5894210794183057,False,0.7781880734111405,False,0.09688877047699622,False,0.08257052290320573,False,0.9438489996750222,True,2.933170038845616,False,1.6730987852703718,False,1.9757783626745384,False,0.21995464465270834,False,0.5904478285909064,True,3.0558652584002037,False,1.1928619906284859,False,0.6101624229335948,False,0.789522409252631,False,1.0982475425588138
花立１丁目,False,0.06584438581171637,False,0.338658686759366,False,0.09167113577968969,False,0.019763290572107805,False,0.06965398003975809,False,0.22387858653084655,False,0.09616430120999918,False,0.04416701641988968,False,1.012158535965222,False,0.207379289725825,False,0.08332321659220972,False,0.31292099589559247,False,0.10331263411766317,False,0.27285356584127907,False,0.18016561575954923,False,0.021914646196169747,False,0.5150198312685714,False,0.8796682982123428,False,0.5576474365980925,False,0.4764924622505259,False,0.36325915926362073,False,0.07418422310884899,False,0.18852341511911588,False,0.19023436562336796,False,0.2236475494137337,False,0.4255021877512564,False,0.11510168904435657
花立２丁目,False,0.011313147977163653,False,0.2582860372014958,False,0.23911309381846357,False,0.13597483735870686,False,0.590230375622755,False,0.3574191522091921,False,0.7021960766635316,False,0.050300932566755906,False,0.1365783218061734,False,0.15048134726846907,False,0.23741736518192064,False,0.6791004509386007,False,0.034311707656809284,False,0.2707757202207051,False,0.09725110012982094,False,0.054163155177458476,False,0.39593193220854356,False,0.06772963956103123,False,0.5224997500873714,False,0.053612195399392895,False,0.16136748424343972,False,0.009501745261397434,False,0.14856501629113256,False,0.06063765880153614,False,0.5286323116684295,False,0.3747236179821092,False,0.007306072007510277
花立３丁目,False,0.24287989747744346,False,0.21655671842257973,False,0.03857693629765027,False,0.0738553396759315,False,0.14697539234929247,False,0.12473708109119272,False,0.31651637728557025,False,0.0925806283467176,False,0.47464674370379795,False,0.030934437327181485,False,0.3454513158206455,False,0.08116524158798549,False,0.9989253149221915,False,0.14262624310844893,False,0.00883352380994646,False,0.24917167841276197,False,0.0924305866116601,False,0.015993587410231744,False,0.3958036711916952,False,0.023889632303110742,False,0.38835529638607613,False,0.24281551566668855,False,0.13312862098939368,False,0.023749213651350114,False,0.6303014032928862,False,0.010482243266450527,False,0.4109880116522929
花立４丁目,False,0.16375231389527992,False,0.08871950705123834,False,0.09396292530686617,False,0.26354337571376146,False,0.5846977252859165,False,0.8053390107212791,False,0.32358351530429685,False,0.4148322767839183,False,0.0830945447370316,False,0.03530303863750351,False,0.0976563552418037,False,0.15542718682977663,False,0.3634259109376796,False,0.6376856378740583,False,0.03482391847297664,False,0.21924162491863994,False,0.17798578572996093,False,0.10090329149679234,False,0.32359560178230845,False,0.3968379810602189,False,0.21837940963947214,False,0.2710242679352292,False,0.1600052933887969,False,0.3960394995787156,False,0.5386003370706771,False,0.5167439322594128,False,0.42951592111006576
花立５丁目,False,0.08163388755774537,False,0.3344967416042132,False,0.3251961664164519,False,0.1395264497578246,False,0.23338892748520626,False,0.658574838507334,False,0.8664868216137084,False,0.22590601755134074,False,0.865884257994448,False,0.33015914703893107,False,0.11445792675840932,False,0.4812498333824482,False,0.04746664123341477,False,0.13158202877999037,False,0.0006651459299654363,False,0.14208358053732542,False,0.3834657586052586,False,0.30925114803643344,False,0.43655226346123066,False,0.17182912111243748,False,0.06417326557565413,False,0.1362569622205475,False,0.06408946529140369,False,0.5858092326894497,False,0.10439543938034974,False,0.008262635621025863,False,0.13905894454186132
花立６丁目,False,0.599558069761398,False,0.1090033693728196,False,0.05250181954723194,False,0.18252939563972334,False,0.05288176094002554,False,0.15432786604978915,False,0.6914061994999113,False,0.0072464255827856235,False,0.5360646606155547,False,0.21704982423427838,False,0.17293183248894695,False,0.306825804738991,False,0.20895386588034104,False,0.16583386636998032,False,0.03082634492406085,False,0.2069288481370881,False,0.04629568895414735,False,0.1708334083836555,False,0.04483742520974895,False,0.5942333597382987,False,0.1576154909010721,False,0.03482779237192366,False,0.19625391547202342,False,0.15816516408645379,False,0.01741414649491826,False,0.7347662337165745,False,0.01699775352447859
若葉１丁目,False,0.3317491161777472,False,0.0929998994028015,False,0.030597760556325827,False,0.22901953284651622,False,0.3004379734146635,False,0.5108772811752497,False,1.6733592895079454,False,0.03352341106804567,False,0.5717086004606345,False,0.4460609288503201,False,0.03920277709355198,False,0.13611617302717624,False,0.02789679102156333,False,0.4452917636608608,False,0.032199351340632405,False,0.429385525070159,False,0.32871567183407485,False,0.5856923354934744,True,3.6275155744273375,False,1.131422491792725,False,0.029068968169315455,False,0.03778236629060023,False,0.6162876226552603,False,0.5877858427632682,False,0.27541142327321183,False,0.6637015468325599,False,0.3486881716842684
若葉２丁目,False,0.5252379003844647,False,0.14705235923197135,False,0.07128797072976618,False,0.20603409582878582,False,0.46031168216592167,False,0.41540845470263316,False,0.13566148369129763,False,0.09848344793152233,False,0.3790521926417405,False,0.3343697616668841,False,0.06415049390010179,False,0.03877414787485327,False,0.19787236149702797,False,0.379384528802186,False,0.12492347128675811,False,0.3258171419060321,False,0.07309428701207073,False,0.4580708122014447,False,0.0173071961209434,False,0.44368895620783294,False,0.24389990669208503,False,0.01389138216272664,False,0.4032680700485882,False,0.01665704906022782,False,0.03789036524428993,False,0.11267921634505902,False,0.07821423816361764
若葉３丁目,False,0.5993161460137577,False,0.18750080602822533,False,0.3472634784381151,False,0.4064244296653657,False,0.018230703855424683,False,0.9144830948233846,False,0.2231552349905362,False,0.2580360265970108,False,0.5390871392804372,False,0.48662445297700924,False,0.27359296670974415,False,0.21061214612486817,False,0.21870472754401737,False,0.6574139419191987,False,0.02682266853097739,False,0.24030366897675956,False,0.5752195836348508,False,0.3648834706312367,False,0.15451545813322554,False,0.03828961568239174,False,0.030490450044131125,False,0.09420531303867524,False,0.41869099165460466,False,0.9282175472486018,False,0.5777265976822871,False,0.008262635621025863,False,0.054007228484844585
