町丁名,年度,変化率(%),変化タイプ,変化の大きさ,前年人口,人口増減
並建町,2019,2.6525198938992043,自然増減,2.6525198938992043,754.0,20.0
国府４丁目,2015,2.651201325600663,自然増減,2.651201325600663,1207.0,32.0
武蔵ケ丘２丁目,2007,2.6490066225165565,自然増減,2.6490066225165565,754.9999999999999,20.0
新大江１丁目,2004,2.6490066225165565,自然増減,2.6490066225165565,1660.9999999999998,44.0
大江３丁目,2019,2.6476578411405294,自然増減,2.6476578411405294,1964.0000000000002,52.0
小峯１丁目,1999,2.6465028355387523,自然増減,2.6465028355387523,529.0,14.0
出仲間８丁目,2005,2.6455026455026456,自然増減,2.6455026455026456,567.0,15.0
横手１丁目,2023,2.644628099173554,自然増減,2.644628099173554,605.0,16.0
立福寺町,2003,2.644230769230769,自然増減,2.644230769230769,416.0,11.0
迎町１丁目,2018,2.6436781609195403,自然増減,2.6436781609195403,870.0,23.0
若葉５丁目,2004,2.643504531722054,自然増減,2.643504531722054,1324.0000000000002,35.0
渡鹿７丁目,2004,2.6399155227032733,自然増減,2.6399155227032733,947.0,25.0
日吉２丁目,2007,2.6399155227032733,自然増減,2.6399155227032733,947.0,25.0
長嶺南５丁目,2018,2.635658914728682,自然増減,2.635658914728682,645.0,17.0
春日３丁目,2017,2.635431918008785,自然増減,2.635431918008785,682.9999999999999,18.0
中江町,2025,2.631578947368421,自然増減,2.631578947368421,76.0,2.0
梶尾町,2024,2.631578947368421,自然増減,2.631578947368421,3914.0,103.0
下南部１丁目,2013,2.631578947368421,自然増減,2.631578947368421,342.0,9.0
八景水谷４丁目,2001,2.631578947368421,自然増減,2.631578947368421,798.0,21.0
南高江５丁目,2005,2.631578947368421,自然増減,2.631578947368421,38.0,1.0
秋津１丁目,2015,2.631578947368421,自然増減,2.631578947368421,760.0,20.0
新南部２丁目,2011,2.6272577996715927,自然増減,2.6272577996715927,609.0,16.0
世安町,2000,2.6246719160104988,自然増減,2.6246719160104988,2667.0,70.0
大江１丁目,2010,2.6224641266699655,自然増減,2.6224641266699655,2020.9999999999998,53.0
蓮台寺４丁目,2011,2.6223776223776225,自然増減,2.6223776223776225,1144.0,30.0
小峯１丁目,2005,2.6217228464419478,自然増減,2.6217228464419478,534.0,14.0
田迎３丁目,2008,2.6217228464419478,自然増減,2.6217228464419478,801.0,21.0
八幡１１丁目,2024,2.6200873362445414,自然増減,2.6200873362445414,687.0,18.0
坪井４丁目,2019,2.6200873362445414,自然増減,2.6200873362445414,687.0,18.0
新屋敷３丁目,2013,2.619589977220957,自然増減,2.619589977220957,878.0,23.0
梶尾町,2015,2.6187050359712227,自然増減,2.6187050359712227,3475.0,91.0
八幡５丁目,2024,2.6178010471204187,自然増減,2.6178010471204187,382.0,10.0
江越２丁目,2014,2.6119402985074625,自然増減,2.6119402985074625,268.0,7.0
水源２丁目,2022,2.610966057441253,自然増減,2.610966057441253,383.0,10.0
紺屋町３丁目,2020,2.608695652173913,自然増減,2.608695652173913,114.99999999999999,3.0
山室３丁目,2005,2.608695652173913,自然増減,2.608695652173913,229.99999999999997,6.0
日吉１丁目,2014,2.605570530098832,自然増減,2.605570530098832,1113.0,29.0
画図町大字所島,2015,2.6054590570719602,自然増減,2.6054590570719602,806.0,21.0
辛島町,2024,2.6036644165863065,自然増減,2.6036644165863065,1037.0,27.0
長嶺東３丁目,2021,2.603550295857988,自然増減,2.603550295857988,845.0,22.0
蓮台寺４丁目,2000,2.6032315978456015,自然増減,2.6032315978456015,1114.0,29.0
護藤町,2021,2.6018099547511313,自然増減,2.6018099547511313,1768.0,46.0
九品寺１丁目,2003,2.6006711409395975,自然増減,2.6006711409395975,1192.0,31.0
宮内,2024,2.599009900990099,自然増減,2.599009900990099,807.9999999999999,21.0
鍛冶屋町,2001,2.5974025974025974,自然増減,2.5974025974025974,77.0,2.0
桜木３丁目,2009,2.595936794582393,自然増減,2.595936794582393,886.0,23.0
渡鹿８丁目,2006,2.595936794582393,自然増減,2.595936794582393,886.0,23.0
戸島町,2019,2.5948103792415167,自然増減,2.5948103792415167,501.0,13.0
保田窪本町,2000,2.5946704067321176,自然増減,2.5946704067321176,1426.0,37.0
秋津３丁目,2016,2.594033722438392,自然増減,2.594033722438392,771.0,20.0
練兵町,2020,2.5925925925925926,自然増減,2.5925925925925926,810.0,21.0
小山町,2016,2.591792656587473,自然増減,2.591792656587473,463.0,12.0
東野３丁目,2007,2.5875190258751903,自然増減,2.5875190258751903,657.0,17.0
池田２丁目,2006,2.5868725868725866,自然増減,2.5868725868725866,2590.0000000000005,67.0
大鳥居町,2010,2.586206896551724,自然増減,2.586206896551724,232.0,6.0
白石町,2010,2.586206896551724,自然増減,2.586206896551724,348.0,9.0
水前寺６丁目,2009,2.586206896551724,自然増減,2.586206896551724,1276.0,33.0
小島上町,2009,2.586206896551724,自然増減,2.586206896551724,116.0,3.0
横手５丁目,2025,2.582496413199426,自然増減,2.582496413199426,697.0,18.0
清水東町,2005,2.5821596244131455,自然増減,2.5821596244131455,1278.0,33.0
水前寺１丁目,2017,2.5802391441157964,自然増減,2.5802391441157964,3177.9999999999995,82.0
出仲間９丁目,2019,2.5787965616045847,自然増減,2.5787965616045847,349.0,9.0
南坪井町,2013,2.578268876611418,自然増減,2.578268876611418,543.0,14.0
日吉２丁目,2012,2.5746652935118437,自然増減,2.5746652935118437,971.0,25.0
江越２丁目,2000,2.5735294117647056,自然増減,2.5735294117647056,272.0,7.0
段山本町,2000,2.5735294117647056,自然増減,2.5735294117647056,272.0,7.0
田迎１丁目,2016,2.5735294117647056,自然増減,2.5735294117647056,544.0,14.0
御領２丁目,2006,2.5697503671071953,自然増減,2.5697503671071953,1362.0,35.0
大窪５丁目,2017,2.5673940949935816,自然増減,2.5673940949935816,779.0,20.0
国府１丁目,2018,2.565880721220527,自然増減,2.565880721220527,1442.0,37.0
南高江５丁目,2006,2.564102564102564,自然増減,2.564102564102564,39.0,1.0
月出８丁目,2001,2.564102564102564,自然増減,2.564102564102564,390.0,10.0
飛田１丁目,2003,2.564102564102564,自然増減,2.564102564102564,546.0,14.0
河内町面木,1999,2.564102564102564,自然増減,2.564102564102564,78.0,2.0
河原町,2021,2.564102564102564,自然増減,2.564102564102564,156.0,4.0
御領２丁目,2013,2.562170308967596,自然増減,2.562170308967596,1327.0,34.0
新町２丁目,2000,2.5609756097560976,自然増減,2.5609756097560976,819.9999999999999,21.0
新町４丁目,2022,2.5608994378513428,自然増減,2.5608994378513428,1601.0,41.0
山室２丁目,2007,2.5597269624573378,自然増減,2.5597269624573378,586.0,15.0
孫代町,2003,2.559055118110236,自然増減,2.559055118110236,508.0,13.0
春日４丁目,2014,2.5579536370903275,自然増減,2.5579536370903275,1251.0,32.0
八景水谷１丁目,2008,2.5570776255707766,自然増減,2.5570776255707766,1095.0,28.0
楠２丁目,2021,2.556390977443609,自然増減,2.556390977443609,665.0,17.0
長嶺東７丁目,1999,2.5559105431309903,自然増減,2.5559105431309903,313.0,8.0
並建町,2024,2.5551684088269457,自然増減,2.5551684088269457,860.9999999999999,22.0
中無田町,2015,2.5540275049115913,自然増減,2.5540275049115913,509.0,13.0
春日３丁目,2021,2.553763440860215,自然増減,2.553763440860215,744.0,19.0
国府１丁目,2003,2.553191489361702,自然増減,2.553191489361702,1410.0000000000002,36.0
東野１丁目,2003,2.551521099116781,自然増減,2.551521099116781,1019.0,26.0
坪井６丁目,2001,2.5510204081632653,自然増減,2.5510204081632653,1568.0,40.0
長嶺西２丁目,2009,2.5503355704697985,自然増減,2.5503355704697985,1490.0,38.0
御領２丁目,2012,2.5502318392581143,自然増減,2.5502318392581143,1294.0,33.0
平成１丁目,2016,2.548725637181409,自然増減,2.548725637181409,667.0000000000001,17.0
琴平２丁目,2016,2.54841997961264,自然増減,2.54841997961264,981.0000000000001,25.0
近見２丁目,2024,2.5447690857681433,自然増減,2.5447690857681433,1061.0,27.0
楠５丁目,1999,2.5447690857681433,自然増減,2.5447690857681433,1061.0,27.0
田崎本町,2023,2.5440313111545985,自然増減,2.5440313111545985,511.0000000000001,13.0
榎町,2008,2.5435704192180877,自然増減,2.5435704192180877,2123.0,54.0
近見６丁目,2002,2.5418474891506513,自然増減,2.5418474891506513,1612.9999999999998,41.0
渡鹿２丁目,2019,2.5380710659898478,自然増減,2.5380710659898478,394.0,10.0
蓮台寺５丁目,2022,2.5380710659898478,自然増減,2.5380710659898478,197.0,5.0
渡鹿５丁目,2011,2.535211267605634,自然増減,2.535211267605634,1065.0,27.0
出水１丁目,2002,2.5316455696202533,自然増減,2.5316455696202533,1263.9999999999998,32.0
高平２丁目,2013,2.5297619047619047,自然増減,2.5297619047619047,1344.0,34.0
二本木１丁目,2022,2.527075812274368,自然増減,2.527075812274368,277.0,7.0
本荘町,2013,2.525252525252525,自然増減,2.525252525252525,1188.0,30.0
沼山津３丁目,2020,2.524271844660194,自然増減,2.524271844660194,1030.0,26.0
中原町,2013,2.524271844660194,自然増減,2.524271844660194,1030.0,26.0
広木町,2008,2.522639068564036,自然増減,2.522639068564036,1546.0,39.0
月出５丁目,2006,2.5225225225225225,自然増減,2.5225225225225225,555.0,14.0
津浦町,2008,2.521873391662378,自然増減,2.521873391662378,1942.9999999999998,49.0
白山３丁目,2013,2.5210084033613445,自然増減,2.5210084033613445,357.0,9.0
下硯川町,2007,2.5196850393700787,自然増減,2.5196850393700787,2540.0,64.0
新屋敷３丁目,2002,2.5196850393700787,自然増減,2.5196850393700787,635.0,16.0
九品寺２丁目,2013,2.5193798449612403,自然増減,2.5193798449612403,1032.0,26.0
秋津町秋田,1999,2.5154798761609904,自然増減,2.5154798761609904,2584.0,65.0
高平２丁目,2000,2.514792899408284,自然増減,2.514792899408284,1351.9999999999998,34.0
国府本町,2022,2.513328255902513,自然増減,2.513328255902513,1313.0000000000002,33.0
慶徳堀町,2017,2.512562814070352,自然増減,2.512562814070352,199.0,5.0
花園４丁目,2002,2.511773940345369,自然増減,2.511773940345369,637.0,16.0
近見３丁目,2020,2.5064822817631804,自然増減,2.5064822817631804,1157.0000000000002,29.0
渡鹿７丁目,2025,2.504638218923933,自然増減,2.504638218923933,1078.0,27.0
迎町１丁目,2014,2.5041736227045077,自然増減,2.5041736227045077,599.0,15.0
西阿弥陀寺町,2006,2.5,自然増減,2.5,200.0,5.0
花畑町,2019,2.5,自然増減,2.5,40.0,1.0
桜木６丁目,2002,2.5,自然増減,2.5,40.0,1.0
本荘１丁目,2012,2.5,自然増減,2.5,40.0,1.0
横手２丁目,2008,2.5,自然増減,2.5,200.0,5.0
安政町,2008,2.5,自然増減,2.5,120.0,3.0
米屋町２丁目,2017,2.5,自然増減,2.5,240.0,6.0
南高江５丁目,2007,2.5,自然増減,2.5,40.0,1.0
八幡１０丁目,2005,2.5,自然増減,2.5,560.0,14.0
無田口町,2005,2.494331065759637,自然増減,2.494331065759637,441.0,11.0
津浦町,1999,2.494331065759637,自然増減,2.494331065759637,1764.0,44.0
山ノ神２丁目,2006,2.4933214603739984,自然増減,2.4933214603739984,1123.0,28.0
呉服町２丁目,2025,2.4922118380062304,自然増減,2.4922118380062304,321.0,8.0
海路口町,2017,2.491103202846975,自然増減,2.491103202846975,281.0,7.0
三郎２丁目,2011,2.491103202846975,自然増減,2.491103202846975,843.0,21.0
戸島町,2024,2.490421455938697,自然増減,2.490421455938697,522.0,13.0
長嶺東５丁目,2013,2.4901185770750986,自然増減,2.4901185770750986,2530.0,63.0
渡鹿７丁目,2003,2.4891774891774894,自然増減,2.4891774891774894,923.9999999999999,23.0
尾ノ上４丁目,2003,2.4888003982080638,自然増減,2.4888003982080638,2009.0,50.0
東町４丁目,2012,2.486881131644992,自然増減,2.486881131644992,4382.999999999999,109.0
壺川２丁目,2009,2.484472049689441,自然増減,2.484472049689441,644.0,16.0
細工町３丁目,2018,2.484472049689441,自然増減,2.484472049689441,161.0,4.0
近見３丁目,2011,2.483285577841452,自然増減,2.483285577841452,1046.9999999999998,26.0
三郎２丁目,2004,2.4822695035460995,自然増減,2.4822695035460995,846.0,21.0
出仲間５丁目,2022,2.4817518248175183,自然増減,2.4817518248175183,685.0,17.0
近見２丁目,1999,2.4804177545691903,自然増減,2.4804177545691903,766.0,19.0
花立２丁目,2002,2.4801587301587302,自然増減,2.4801587301587302,1007.9999999999999,25.0
八幡１０丁目,2015,2.476780185758514,自然増減,2.476780185758514,646.0,16.0
月出８丁目,2017,2.4752475247524752,自然増減,2.4752475247524752,404.0,10.0
元三町３丁目,2007,2.4742268041237114,自然増減,2.4742268041237114,484.99999999999994,12.0
御領７丁目,2015,2.4742268041237114,自然増減,2.4742268041237114,484.99999999999994,12.0
出水３丁目,2017,2.4740622505985637,自然増減,2.4740622505985637,1253.0,31.0
壺川２丁目,2016,2.472952086553323,自然増減,2.472952086553323,647.0,16.0
鶴羽田町,2009,2.472597501911802,自然増減,2.472597501911802,3923.000000000001,97.0
田迎３丁目,2022,2.4721878862793574,自然増減,2.4721878862793574,808.9999999999999,20.0
長嶺東８丁目,2019,2.4719101123595504,自然増減,2.4719101123595504,445.00000000000006,11.0
新屋敷１丁目,2004,2.4701873935264054,自然増減,2.4701873935264054,1174.0,29.0
八分字町,2021,2.4694944799535152,自然増減,2.4694944799535152,3442.0,85.0
桜木４丁目,2000,2.4691358024691357,自然増減,2.4691358024691357,1215.0,30.0
中唐人町,2018,2.4691358024691357,自然増減,2.4691358024691357,162.0,4.0
田崎３丁目,2013,2.467343976777939,自然増減,2.467343976777939,1378.0,34.0
二本木４丁目,2019,2.466091245376079,自然増減,2.466091245376079,811.0,20.0
長嶺南１丁目,2020,2.465986394557823,自然増減,2.465986394557823,1176.0000000000002,29.0
健軍３丁目,2007,2.465857359635812,自然増減,2.465857359635812,2636.0,65.0
飛田３丁目,2011,2.4657534246575343,自然増減,2.4657534246575343,365.0,9.0
菅原町,2013,2.465166130760986,自然増減,2.465166130760986,933.0,23.0
田迎５丁目,2022,2.464788732394366,自然増減,2.464788732394366,568.0,14.0
海路口町,2015,2.464788732394366,自然増減,2.464788732394366,284.0,7.0
大窪５丁目,1999,2.4630541871921183,自然増減,2.4630541871921183,1015.0,25.0
奥古閑町,2014,2.4630541871921183,自然増減,2.4630541871921183,812.0,20.0
渡鹿２丁目,2012,2.4630541871921183,自然増減,2.4630541871921183,406.0,10.0
秋津２丁目,2020,2.459016393442623,自然増減,2.459016393442623,976.0,24.0
会富町,2024,2.459016393442623,自然増減,2.459016393442623,854.0,21.0
月出３丁目,2007,2.4574669187145557,自然増減,2.4574669187145557,529.0,13.0
桜町,2018,2.456140350877193,自然増減,2.456140350877193,285.0,7.0
並建町,2016,2.455661664392906,自然増減,2.455661664392906,732.9999999999999,18.0
武蔵ケ丘７丁目,2000,2.454642475987193,自然増減,2.454642475987193,937.0000000000001,23.0
月出３丁目,2003,2.4528301886792456,自然増減,2.4528301886792456,529.9999999999999,13.0
出水４丁目,1999,2.4516129032258065,自然増減,2.4516129032258065,1550.0,38.0
貢町,2020,2.4516129032258065,自然増減,2.4516129032258065,775.0,19.0
谷尾崎町,2015,2.450980392156863,自然増減,2.450980392156863,1427.9999999999998,35.0
南熊本２丁目,2023,2.4498886414253898,自然増減,2.4498886414253898,449.0,11.0
御幸西無田町,2023,2.4498886414253898,自然増減,2.4498886414253898,449.0,11.0
幸田２丁目,2020,2.4495677233429394,自然増減,2.4495677233429394,694.0,17.0
水前寺２丁目,2001,2.449324324324324,自然増減,2.449324324324324,1184.0,29.0
楠３丁目,2013,2.4456521739130435,自然増減,2.4456521739130435,368.0,9.0
龍田町弓削,2005,2.445089100704517,自然増減,2.445089100704517,4826.000000000001,118.0
妙体寺町,2025,2.444987775061125,自然増減,2.444987775061125,409.0,10.0
長嶺東３丁目,2005,2.444987775061125,自然増減,2.444987775061125,818.0,20.0
黒髪６丁目,2000,2.444323737099402,自然増減,2.444323737099402,1841.0000000000002,45.0
春日２丁目,2020,2.4432809773123907,自然増減,2.4432809773123907,573.0,14.0
西梶尾町,2008,2.4404761904761907,自然増減,2.4404761904761907,1679.9999999999998,41.0
新大江３丁目,2016,2.4402390438247012,自然増減,2.4402390438247012,2008.0,49.0
小沢町,2003,2.4390243902439024,自然増減,2.4390243902439024,492.0,12.0
南熊本１丁目,2008,2.4390243902439024,自然増減,2.4390243902439024,369.0,9.0
西梶尾町,2011,2.4390243902439024,自然増減,2.4390243902439024,1681.0,41.0
黒髪６丁目,2001,2.4390243902439024,自然増減,2.4390243902439024,1886.0,46.0
南高江５丁目,2003,2.4390243902439024,自然増減,2.4390243902439024,41.0,1.0
壺川２丁目,2023,2.4390243902439024,自然増減,2.4390243902439024,697.0,17.0
保田窪本町,2017,2.4373730534867977,自然増減,2.4373730534867977,1477.0,36.0
鹿子木町,2002,2.4355300859598854,自然増減,2.4355300859598854,1396.0,34.0
貢町,2006,2.4333719582850524,自然増減,2.4333719582850524,862.9999999999999,21.0
山ノ神２丁目,2007,2.4326672458731537,自然増減,2.4326672458731537,1151.0,28.0
江津１丁目,2000,2.4322830292979547,自然増減,2.4322830292979547,1809.0,44.0
長嶺東５丁目,2014,2.4296182028538373,自然増減,2.4296182028538373,2593.0,63.0
保田窪５丁目,2020,2.42914979757085,自然増減,2.42914979757085,1235.0000000000002,30.0
米屋町２丁目,2015,2.42914979757085,自然増減,2.42914979757085,247.00000000000003,6.0
御領５丁目,2020,2.4288107202680065,自然増減,2.4288107202680065,1194.0000000000002,29.0
長嶺東５丁目,2006,2.427564604541895,自然増減,2.427564604541895,2554.0,62.0
壺川１丁目,2016,2.4265644955300125,自然増減,2.4265644955300125,783.0,19.0
出水１丁目,2004,2.4256651017214397,自然増減,2.4256651017214397,1278.0,31.0
護藤町,2022,2.4255788313120177,自然増減,2.4255788313120177,1814.0,44.0
花立４丁目,2000,2.4232633279483036,自然増減,2.4232633279483036,619.0,15.0
下南部２丁目,2008,2.4214659685863875,自然増減,2.4214659685863875,1528.0,37.0
大江４丁目,2024,2.4208566108007448,自然増減,2.4208566108007448,1611.0,39.0
山ノ内１丁目,2014,2.4193548387096775,自然増減,2.4193548387096775,620.0,15.0
馬渡２丁目,2022,2.418379685610641,自然増減,2.418379685610641,827.0,20.0
広木町,2001,2.4157660521296886,自然増減,2.4157660521296886,1573.0,38.0
迎町１丁目,2004,2.4154589371980677,自然増減,2.4154589371980677,621.0,15.0
本荘６丁目,2006,2.4154589371980677,自然増減,2.4154589371980677,828.0,20.0
御領３丁目,2023,2.4150943396226414,自然増減,2.4150943396226414,1325.0,32.0
桜木４丁目,2004,2.413273001508296,自然増減,2.413273001508296,1325.9999999999998,32.0
沼山津１丁目,2024,2.413127413127413,自然増減,2.413127413127413,1036.0000000000002,25.0
保田窪５丁目,2000,2.4106400665004157,自然増減,2.4106400665004157,1203.0,29.0
紺屋町１丁目,2011,2.4096385542168677,自然増減,2.4096385542168677,83.0,2.0
安政町,2020,2.4096385542168677,自然増減,2.4096385542168677,83.0,2.0
古城町,2000,2.4096385542168677,自然増減,2.4096385542168677,83.0,2.0
東野３丁目,2010,2.4079320113314444,自然増減,2.4079320113314444,706.0000000000001,17.0
長嶺南５丁目,2003,2.4077046548956664,自然増減,2.4077046548956664,623.0,15.0
長嶺東４丁目,2003,2.4061597690086622,自然増減,2.4061597690086622,1039.0,25.0
中央街,1999,2.405498281786942,自然増減,2.405498281786942,290.99999999999994,7.0
今町,2024,2.4050632911392404,自然増減,2.4050632911392404,790.0,19.0
本山町,2000,2.4041585445094213,自然増減,2.4041585445094213,1539.0000000000002,37.0
坪井５丁目,2018,2.402745995423341,自然増減,2.402745995423341,874.0,21.0
出仲間１丁目,2011,2.4024024024024024,自然増減,2.4024024024024024,666.0,16.0
沼山津１丁目,2002,2.401372212692967,自然増減,2.401372212692967,1166.0000000000002,28.0
南千反畑町,2009,2.4009603841536618,自然増減,2.4009603841536618,832.9999999999999,20.0
花立４丁目,2024,2.4,自然増減,2.4,625.0,15.0
尾ノ上１丁目,2002,2.399232245681382,自然増減,2.399232245681382,2084.0,50.0
四方寄町,2022,2.398331595411887,自然増減,2.398331595411887,2877.0,69.0
長嶺東１丁目,2024,2.3982558139534884,自然増減,2.3982558139534884,1376.0,33.0
長嶺南１丁目,2016,2.396694214876033,自然増減,2.396694214876033,1210.0,29.0
御領４丁目,2003,2.3952095808383236,自然増減,2.3952095808383236,334.0,8.0
砂原町,2011,2.39477503628447,自然増減,2.39477503628447,1378.0,33.0
京塚本町,2010,2.39377618192699,自然増減,2.39377618192699,1671.0,40.0
田迎６丁目,2013,2.3931623931623935,自然増減,2.3931623931623935,584.9999999999999,14.0
幸田２丁目,2000,2.3931623931623935,自然増減,2.3931623931623935,584.9999999999999,14.0
沼山津２丁目,2019,2.3890784982935154,自然増減,2.3890784982935154,879.0,21.0
帯山２丁目,2019,2.3882424984690753,自然増減,2.3882424984690753,1633.0,39.0
楠３丁目,2022,2.3880597014925375,自然増減,2.3880597014925375,334.99999999999994,8.0
黒髪６丁目,2013,2.3858921161825726,自然増減,2.3858921161825726,1928.0000000000002,46.0
画図町大字重富,2018,2.383888203863543,自然増減,2.383888203863543,2433.0,58.0
清水亀井町,2011,2.380952380952381,自然増減,2.380952380952381,1092.0,26.0
長嶺西２丁目,2012,2.380952380952381,自然増減,2.380952380952381,1512.0,36.0
山崎町,2012,2.380952380952381,自然増減,2.380952380952381,84.0,2.0
呉服町１丁目,2016,2.380952380952381,自然増減,2.380952380952381,84.0,2.0
小島上町,2023,2.380952380952381,自然増減,2.380952380952381,84.0,2.0
細工町５丁目,2010,2.380952380952381,自然増減,2.380952380952381,42.0,1.0
細工町１丁目,2014,2.380952380952381,自然増減,2.380952380952381,126.0,3.0
武蔵ケ丘５丁目,2000,2.380952380952381,自然増減,2.380952380952381,798.0,19.0
九品寺２丁目,2022,2.380952380952381,自然増減,2.380952380952381,1218.0,29.0
清水万石５丁目,2004,2.3779724655819776,自然増減,2.3779724655819776,799.0,19.0
鹿子木町,2003,2.3776223776223775,自然増減,2.3776223776223775,1430.0,34.0
江越２丁目,2009,2.371541501976284,自然増減,2.371541501976284,253.00000000000006,6.0
御領５丁目,2021,2.3712183156173343,自然増減,2.3712183156173343,1223.0,29.0
長嶺西２丁目,2002,2.369980250164582,自然増減,2.369980250164582,1519.0000000000002,36.0
段山本町,2008,2.3696682464454977,自然増減,2.3696682464454977,210.99999999999997,5.0
広木町,2020,2.3696682464454977,自然増減,2.3696682464454977,1687.9999999999998,40.0
水前寺６丁目,2021,2.3688663282571913,自然増減,2.3688663282571913,1182.0,28.0
長嶺南４丁目,2004,2.368573079145003,自然増減,2.368573079145003,1731.0,41.0
河原町,2017,2.366863905325444,自然増減,2.366863905325444,169.0,4.0
飛田２丁目,2021,2.366255144032922,自然増減,2.366255144032922,972.0,23.0
明徳町,2013,2.365930599369085,自然増減,2.365930599369085,634.0,15.0
梶尾町,2025,2.364948966890714,自然増減,2.364948966890714,4017.0000000000005,95.0
大江５丁目,2013,2.364864864864865,自然増減,2.364864864864865,888.0,21.0
清水万石１丁目,2017,2.3640661938534278,自然増減,2.3640661938534278,846.0,20.0
津浦町,2001,2.3639362286970864,自然増減,2.3639362286970864,1819.0,43.0
河内町岳,2013,2.3622047244094486,自然増減,2.3622047244094486,762.0,18.0
段山本町,2014,2.358490566037736,自然増減,2.358490566037736,211.99999999999997,5.0
出仲間３丁目,2024,2.3578363384188625,自然増減,2.3578363384188625,721.0,17.0
水前寺１丁目,2014,2.357563850687623,自然増減,2.357563850687623,3054.0,72.0
楠６丁目,2000,2.357563850687623,自然増減,2.357563850687623,509.0,12.0
山室３丁目,2024,2.356902356902357,自然増減,2.356902356902357,297.0,7.0
田迎４丁目,2002,2.356020942408377,自然増減,2.356020942408377,382.0,9.0
小峯３丁目,2007,2.3542600896860986,自然増減,2.3542600896860986,892.0,21.0
古京町,2000,2.3529411764705883,自然増減,2.3529411764705883,85.0,2.0
長嶺南７丁目,2015,2.351683591662213,自然増減,2.351683591662213,1870.9999999999998,44.0
長嶺南１丁目,2019,2.3498694516971277,自然増減,2.3498694516971277,1149.0000000000002,27.0
西梶尾町,2024,2.3492063492063493,自然増減,2.3492063492063493,1574.9999999999998,37.0
九品寺１丁目,2012,2.348993288590604,自然増減,2.348993288590604,1192.0,28.0
本荘４丁目,2011,2.3483365949119372,自然増減,2.3483365949119372,511.0,12.0
広木町,2000,2.342225113858165,自然増減,2.342225113858165,1537.0,36.0
山室４丁目,2010,2.341137123745819,自然増減,2.341137123745819,299.0,7.0
上熊本３丁目,2008,2.3401826484018264,自然増減,2.3401826484018264,1752.0,41.0
中唐人町,2013,2.3391812865497075,自然増減,2.3391812865497075,171.0,4.0
国府３丁目,2005,2.338421565443326,自然増減,2.338421565443326,3079.0,72.0
水道町,2008,2.3383768913342506,自然増減,2.3383768913342506,727.0,17.0
鶴羽田町,2005,2.3355704697986575,自然増減,2.3355704697986575,3725.0,87.0
明徳町,2004,2.333931777378815,自然増減,2.333931777378815,557.0,13.0
出仲間４丁目,2007,2.3318385650224216,自然増減,2.3318385650224216,1115.0,26.0
野中３丁目,2021,2.33160621761658,自然増減,2.33160621761658,386.0,9.0
並建町,2008,2.33160621761658,自然増減,2.33160621761658,772.0,18.0
若葉２丁目,2012,2.331002331002331,自然増減,2.331002331002331,857.9999999999999,20.0
八分字町,2002,2.3281193161149507,自然増減,2.3281193161149507,2749.0000000000005,64.0
中島町,2018,2.328042328042328,自然増減,2.328042328042328,945.0,22.0
近見１丁目,2025,2.3255813953488373,自然増減,2.3255813953488373,989.0,23.0
新外２丁目,2006,2.3255813953488373,自然増減,2.3255813953488373,344.0,8.0
清水万石２丁目,2022,2.3255813953488373,自然増減,2.3255813953488373,129.0,3.0
南高江２丁目,2023,2.3255813953488373,自然増減,2.3255813953488373,989.0,23.0
花立４丁目,2011,2.3255813953488373,自然増減,2.3255813953488373,688.0,16.0
新南部６丁目,2013,2.3255813953488373,自然増減,2.3255813953488373,258.0,6.0
南町,2020,2.3255813953488373,自然増減,2.3255813953488373,989.0,23.0
新町３丁目,2023,2.3218142548596115,自然増減,2.3218142548596115,1852.0,43.0
佐土原１丁目,2020,2.3212045169385194,自然増減,2.3212045169385194,1594.0,37.0
元三町３丁目,2006,2.320675105485232,自然増減,2.320675105485232,474.0,11.0
大江３丁目,2011,2.3191094619666046,自然増減,2.3191094619666046,1078.0,25.0
新屋敷３丁目,2016,2.3182297154899896,自然増減,2.3182297154899896,949.0,22.0
蓮台寺２丁目,2018,2.3166023166023164,自然増減,2.3166023166023164,518.0,12.0
山室６丁目,2019,2.3156089193825045,自然増減,2.3156089193825045,1166.0,27.0
桜木４丁目,2003,2.314814814814815,自然増減,2.314814814814815,1295.9999999999998,30.0
八景水谷４丁目,2017,2.314814814814815,自然増減,2.314814814814815,863.9999999999999,20.0
石原町,2000,2.3138832997987926,自然増減,2.3138832997987926,994.0,23.0
近見１丁目,2008,2.3138832997987926,自然増減,2.3138832997987926,994.0,23.0
月出５丁目,2022,2.3131672597864767,自然増減,2.3131672597864767,562.0,13.0
楠６丁目,2018,2.3131672597864767,自然増減,2.3131672597864767,562.0,13.0
月出８丁目,2010,2.312138728323699,自然増減,2.312138728323699,346.0,8.0
川尻１丁目,2018,2.312138728323699,自然増減,2.312138728323699,346.0,8.0
浜口町,2020,2.311248073959938,自然増減,2.311248073959938,649.0,15.0
野中２丁目,2015,2.309782608695652,自然増減,2.309782608695652,736.0,17.0
辛島町,2017,2.3092369477911645,自然増減,2.3092369477911645,996.0,23.0
長嶺南１丁目,2004,2.307080350039777,自然増減,2.307080350039777,1257.0,29.0
鶴羽田町,2004,2.3070585004119746,自然増減,2.3070585004119746,3641.0,84.0
出水７丁目,1999,2.3061630218687874,自然増減,2.3061630218687874,2515.0,58.0
