町丁名,年度,変化率(%),変化タイプ
通町,2017,15.625,大幅増加
万町２丁目,1999,15.625,大幅増加
呉服町２丁目,2016,15.611814345991561,大幅増加
南熊本４丁目,2024,15.568862275449103,大幅増加
船場町３丁目,2004,15.517241379310345,大幅増加
幸田２丁目,2002,15.476190476190476,大幅増加
段山本町,2021,15.412186379928317,大幅増加
近見８丁目,2004,15.39961013645224,大幅増加
川端町,2012,15.384615384615385,大幅増加
魚屋町２丁目,2013,15.384615384615385,大幅増加
魚屋町３丁目,2014,15.384615384615385,大幅増加
魚屋町３丁目,2025,15.294117647058824,大幅増加
中江町,2020,15.151515151515152,大幅増加
船場町下１丁目,2008,15.151515151515152,大幅増加
八幡５丁目,2003,15.131578947368421,大幅増加
九品寺５丁目,2019,15.127840909090908,大幅増加
大窪１丁目,2017,15.104166666666666,大幅増加
千葉城町,2015,15.04761904761905,大幅増加
呉服町２丁目,2021,14.982578397212542,大幅増加
渡鹿４丁目,2010,14.862914862914863,大幅増加
桜木５丁目,2000,14.862385321100918,大幅増加
新屋敷１丁目,2002,14.845360824742269,大幅増加
新市街,2023,14.814814814814813,大幅増加
馬渡１丁目,2004,14.761904761904763,大幅増加
黒髪７丁目,2014,14.736842105263156,大幅増加
田崎町,2016,14.634146341463413,大幅増加
飛田町,2012,14.634146341463413,大幅増加
水前寺公園,1999,14.598930481283423,大幅増加
湖東１丁目,2025,14.457831325301203,大幅増加
春日３丁目,2015,14.45578231292517,大幅増加
古川町,2025,14.393939393939394,大幅増加
長嶺東７丁目,2004,14.363143631436316,大幅増加
山ノ内２丁目,2008,14.345991561181433,大幅増加
二本木２丁目,2016,14.331210191082802,大幅増加
東阿弥陀寺町,2008,14.285714285714285,大幅増加
桜木６丁目,2011,14.285714285714285,大幅増加
古川町,2017,14.285714285714285,大幅増加
通町,2015,14.285714285714285,大幅増加
田迎町大字田井島,2008,14.285714285714285,大幅増加
通町,2004,14.285714285714285,大幅増加
二本木２丁目,2019,14.246947082767978,大幅増加
九品寺５丁目,2005,14.217633042096903,大幅増加
