人口統計表,Column_1,Column_2,Column_3
田迎４丁目,,,
総数,501,231,270
田迎５丁目,,,
総数,589,273,316
田迎６丁目,,,
総数,585,261,324
田迎町大字田井島,,,
総数,44,24,20
田迎町大字良町,,,
総数,0,0,0
太郎迫町,,,
総数,272,126,146
近見１丁目,,,
総数,988,462,526
近見２丁目,,,
総数,"1,080",505,575
近見３丁目,,,
総数,"1,114",543,571
近見４丁目,,,
総数,826,390,436
近見５丁目,,,
総数,22,11,11
近見６丁目,【秘匿】十禅寺３丁目、流通団地２丁目を含みます,,
総数,"1,653",788,865
近見７丁目,,,
総数,667,305,362
近見８丁目,,,
総数,"1,857",848,"1,009"
近見９丁目,,,
総数,103,48,55
近見町,,,
総数,81,32,49
千葉城町,,,
総数,624,288,336
中央街,,,
総数,412,200,212
月出１丁目,,,
総数,"1,538",740,798
月出２丁目,,,
総数,"1,771",823,948
月出３丁目,,,
総数,619,301,318
月出４丁目,,,
総数,"1,698",818,880
月出５丁目,,,
総数,631,300,331
月出６丁目,,,
総数,"1,326",596,730
月出７丁目,,,
総数,750,360,390
月出８丁目,,,
総数,414,214,200
津浦町,,,
総数,"1,761",841,920
総数,221,112,109
坪井１丁目,,,
総数,932,433,499
坪井２丁目,,,
総数,818,359,459
坪井３丁目,,,
総数,942,408,534
坪井４丁目,,,
総数,685,333,352
坪井５丁目,,,
総数,874,407,467
坪井６丁目,,,
総数,"1,966",923,"1,043"
総数,949,442,507
総数,526,245,281
総数,"1,117",536,581
総数,"1,520",747,773
総数,77,32,45
鶴羽田町,,,
総数,654,303,351
手取本町,,,
総数,25,12,13
出町,,,
総数,960,421,539
通町,,,
総数,74,41,33
土河原町,,,
総数,"1,412",676,736
総数,979,453,526
総数,849,418,431
徳王町,,,
総数,58,31,27
戸坂町,,,
総数,"1,250",594,656
総数,"1,314",645,669
総数,360,178,182
総数,511,255,256
総数,168,84,84
総数,977,491,486
総数,988,468,520
総数,"1,184",576,608
総数,"3,794","1,783","2,011"
総数,278,134,144
総数,47,29,18
総数,898,450,448
総数,352,169,183
総数,373,179,194
総数,499,245,254
総数,922,444,478
戸島町,,,
総数,171,87,84
総数,162,81,81
総数,367,173,194
総数,995,472,523
総数,716,362,354
総数,44,16,28
総数,174,81,93
総数,273,120,153
総数,831,400,431
総数,692,339,353
総数,703,331,372
総数,484,221,263
総数,270,131,139
総数,238,106,132
総数,438,205,233
総数,229,106,123
総数,360,172,188
総数,924,439,485
総数,385,187,198
総数,349,156,193
総数,87,43,44
総数,489,242,247
総数,538,245,293
総数,506,260,246
渡鹿１丁目,,,
総数,"1,072",533,539
渡鹿２丁目,,,
総数,398,186,212
渡鹿３丁目,,,
総数,"1,005",465,540
渡鹿４丁目,,,
総数,763,368,395
渡鹿５丁目,,,
総数,"1,102",583,519
渡鹿６丁目,,,
総数,"1,320",719,601
渡鹿７丁目,,,
総数,"1,163",682,481
渡鹿８丁目,,,
総数,989,537,452
渡鹿９丁目,,,
総数,108,47,61
中江町,,,
総数,62,33,29
中島町,,,
総数,945,458,487
中唐人町,,,
総数,162,73,89
中原町,,,
総数,"1,160",549,611
総数,168,83,85
長嶺西１丁目,,,
総数,"1,475",692,783
長嶺西２丁目,,,
総数,"1,528",753,775
長嶺西３丁目,,,
総数,278,130,148
長嶺東１丁目,,,
総数,"1,349",641,708
長嶺東２丁目,,,
総数,"2,090",997,"1,093"
長嶺東３丁目,,,
総数,835,393,442
長嶺東４丁目,,,
総数,"1,279",629,650
長嶺東５丁目,,,
総数,"2,670","1,297","1,373"
長嶺東６丁目,,,
総数,"1,639",806,833
長嶺東７丁目,,,
総数,439,234,205
長嶺東８丁目,,,
総数,570,295,275
総数,433,209,224
長嶺南１丁目,,,
総数,"1,182",566,616
長嶺南２丁目,,,
総数,719,344,375
長嶺南３丁目,,,
総数,"2,619","1,204","1,415"
長嶺南４丁目,,,
総数,"2,009",968,"1,041"
長嶺南５丁目,,,
総数,645,318,327
長嶺南６丁目,,,
総数,"2,230","1,060","1,170"
長嶺南７丁目,,,
総数,"1,884",916,968
長嶺南８丁目,,,
総数,750,355,395
中無田町,,,
総数,508,247,261
並建町,,,
総数,758,362,396
西阿弥陀寺町,,,
総数,168,68,100
西梶尾町,,,
総数,"1,685",823,862
錦ケ丘,,,
総数,"1,467",713,754
西子飼町,,,
総数,285,134,151
西唐人町,,,
総数,36,14,22
西原１丁目,,,
総数,836,386,450
西原２丁目,,,
総数,878,398,480
西原３丁目,,,
総数,888,367,521
総数,607,291,316
二の丸,,,
総数,0,0,0
二本木１丁目,,,
総数,224,112,112
二本木２丁目,,,
総数,741,341,400
二本木３丁目,,,
総数,625,301,324
二本木４丁目,,,
総数,801,370,431
二本木５丁目,,,
総数,703,336,367
総数,100,44,56
総数,"1,532",715,817
総数,"1,482",720,762
総数,971,454,517
総数,929,444,485
総数,χ,χ,χ
沼山津１丁目,,,
総数,"1,083",506,577
沼山津２丁目,,,
総数,862,405,457
沼山津３丁目,,,
総数,911,422,489
沼山津４丁目,,,
総数,"1,142",554,588
総数,658,304,354
総数,538,259,279
総数,697,339,358
総数,556,256,300
野口町,,,
総数,0,0,0
野田１丁目,,,
総数,255,117,138
野田２丁目,【秘匿】八幡１丁目を含みます,,
総数,816,384,432
野田３丁目,,,
総数,729,350,379
野中１丁目,,,
総数,656,301,355
野中２丁目,,,
総数,746,362,384
野中３丁目,,,
総数,384,186,198
乗越ヶ丘,,,
総数,0,0,0
萩原町,,,
総数,"3,220","1,423","1,797"
白山１丁目,,,
総数,390,177,213
白山２丁目,,,
総数,654,295,359
白山３丁目,,,
総数,408,191,217
八景水谷１丁目,,,
総数,"1,075",506,569
八景水谷２丁目,,,
総数,"3,254","2,070","1,184"
八景水谷３丁目,,,
総数,"1,384",612,772
八景水谷４丁目,,,
総数,884,408,476
畠口町,,,
総数,704,335,369
八王寺町（中央区）,,,
総数,"4,558","2,160","2,398"
八王寺町,,,
総数,77,37,40
八反田１丁目,,,
総数,755,355,400
八反田２丁目,,,
総数,"1,576",762,814
八反田３丁目,,,
総数,"1,477",707,770
花園１丁目,,,
総数,888,435,453
花園２丁目,,,
総数,493,211,282
花園３丁目,,,
総数,"1,362",631,731
花園４丁目,,,
総数,641,304,337
花園５丁目,,,
総数,"2,285","1,053","1,232"
花園６丁目,,,
総数,"1,932",904,"1,028"
花園７丁目,,,
総数,"2,883","1,345","1,538"
花立１丁目,,,
総数,379,171,208
花立２丁目,,,
総数,980,463,517
花立３丁目,,,
総数,"1,229",570,659
花立４丁目,,,
総数,745,378,367
花立５丁目,,,
総数,"1,545",755,790
花立６丁目,,,
総数,"1,723",829,894
花畑町,,,
総数,36,13,23
八分字町,,,
総数,"3,361","1,579","1,782"
