人口統計表,Column_1,Column_2,Column_3
新市街,,,
総数,218,95,123
新生１丁目,,,
総数,"1,567",743,824
新生２丁目,,,
総数,831,383,448
新土河原１丁目,,,
総数,863,402,461
新土河原２丁目,,,
総数,601,295,306
新南部１丁目,,,
総数,277,135,142
新南部２丁目,,,
総数,613,296,317
新南部３丁目,,,
総数,"1,122",593,529
新南部４丁目,,,
総数,395,196,199
新南部５丁目,,,
総数,"1,312",635,677
新南部６丁目,,,
総数,291,151,140
総数,χ,χ,χ
新外１丁目,,,
総数,487,255,232
新外２丁目,,,
総数,407,210,197
新外３丁目,,,
総数,"1,042",496,546
新外４丁目,,,
総数,553,261,292
新町１丁目,,,
総数,"1,327",558,769
新町２丁目,,,
総数,845,354,491
新町３丁目,,,
総数,"1,500",652,848
新町４丁目,,,
総数,"1,323",589,734
新屋敷１丁目,,,
総数,970,421,549
新屋敷２丁目,,,
総数,"1,475",687,788
新屋敷３丁目,,,
総数,635,286,349
水源１丁目,,,
総数,878,393,485
水源２丁目,,,
総数,465,215,250
水前寺１丁目,,,
総数,"2,485","1,157","1,328"
水前寺２丁目,,,
総数,"1,213",518,695
水前寺３丁目,,,
総数,"2,513","1,146","1,367"
水前寺４丁目,,,
総数,"2,286","1,024","1,262"
水前寺５丁目,,,
総数,"1,269",635,634
水前寺６丁目,,,
総数,"1,390",658,732
水前寺公園,,,
総数,"2,133",953,"1,180"
水道町,,,
総数,365,156,209
菅原町,,,
総数,758,330,428
硯川町,,,
総数,701,335,366
砂原町,,,
総数,"1,423",645,778
銭塘町,,,
総数,"1,139",523,616
船場町２丁目,,,
総数,128,60,68
船場町３丁目,,,
総数,92,38,54
船場町下１丁目,,,
総数,235,110,125
総数,11,7,4
総数,523,236,287
高平１丁目,,,
総数,"1,662",759,903
高平２丁目,,,
総数,"1,386",661,725
高平３丁目,,,
総数,"1,705",813,892
田崎１丁目,,,
総数,919,428,491
田崎２丁目,,,
総数,"1,130",483,647
田崎３丁目,,,
総数,"1,539",660,879
田崎本町,,,
総数,688,320,368
田崎町,,,
総数,75,38,37
総数,50,34,16
総数,12,6,6
龍田町弓削,,,
総数,"4,677","2,300","2,377"
谷尾崎町,,,
総数,"1,514",724,790
段山本町,,,
総数,273,122,151
田迎１丁目,,,
総数,356,168,188
田迎２丁目,,,
総数,936,459,477
田迎３丁目,,,
総数,804,394,410
田迎４丁目,,,
総数,382,180,202
田迎５丁目,,,
総数,508,252,256
田迎６丁目,,,
総数,610,285,325
総数,χ,χ,χ
田迎町大字田井島,,,
総数,57,27,30
総数,χ,χ,χ
田迎町大字良町,,,
総数,45,30,15
太郎迫町,,,
総数,330,142,188
近見１丁目,,,
総数,"1,020",459,561
近見２丁目,,,
総数,"1,290",596,694
近見３丁目,,,
総数,"1,160",556,604
近見４丁目,,,
総数,669,327,342
近見５丁目,【秘匿】近見６丁目を含みます,,
総数,χ,χ,χ
近見６丁目,【秘匿】十禅寺３丁目、近見５丁目を含みます,,
総数,"1,613",749,864
近見７丁目,,,
総数,410,194,216
近見８丁目,,,
総数,"1,037",520,517
近見９丁目,,,
総数,53,22,31
近見町,,,
総数,129,62,67
千葉城町,,,
総数,234,116,118
中央街,,,
総数,305,150,155
月出１丁目,,,
総数,962,487,475
月出２丁目,,,
総数,"1,940",934,"1,006"
月出３丁目,,,
総数,522,243,279
月出４丁目,,,
総数,"1,744",862,882
月出５丁目,,,
