町丁名,Column_1,Column_2,Column_3
水前寺５丁目,,,
水前寺６丁目,,,
水源１丁目,,,
水源２丁目,,,
水道町,【秘匿】本丸を含みます,,
江津１丁目,,,
江津２丁目,,,
江越１丁目,,,
江越２丁目,,,
池上町,,,
池亀町,,,
池田１丁目,,,
池田２丁目,,,
池田３丁目,,,
池田４丁目,,,
沖新町,,,
河内町大多尾,,,
河内町岳,,,
河内町東門寺,,,
河内町河内,,,
河内町白浜,,,
河内町船津,,,
河内町野出,,,
河内町面木,,,
河原町,,,
沼山津１丁目,,,
沼山津２丁目,,,
沼山津３丁目,,,
沼山津４丁目,,,
津浦町,,,
流通団地１丁目,,,
流通団地２丁目,【秘匿】近見６丁目を含みます,,
浜口町,,,
海路口町,,,
清水万石１丁目,,,
清水万石２丁目,,,
清水万石３丁目,,,
清水万石４丁目,,,
清水万石５丁目,,,
清水亀井町,【秘匿】清水町大字松崎、清水町大字室園を含みます,,
清水本町,,,
清水東町,,,
清水町大字万石,,,
清水町大字亀井,,,
清水町大字兎谷,,,
清水町大字大窪,,,
清水町大字室園,【秘匿】清水亀井町を含みます,,
清水町大字山室,,,
清水町大字打越,,,
清水町大字新地,,,
清水町大字松崎,【秘匿】清水亀井町を含みます,,
清水町大字楡木,,,
清水町大字高平,,,
清水町大字麻生田,,,
渡鹿１丁目,,,
渡鹿２丁目,,,
渡鹿３丁目,,,
渡鹿４丁目,,,
渡鹿５丁目,,,
渡鹿６丁目,,,
渡鹿７丁目,,,
渡鹿８丁目,,,
渡鹿９丁目,,,
湖東１丁目,,,
湖東２丁目,,,
湖東３丁目,,,
無田口町,,,
琴平本町,,,
琴平１丁目,,,
琴平２丁目,,,
田崎本町,,,
田崎町,,,
田崎１丁目,,,
田崎２丁目,,,
田崎３丁目,,,
田迎町大字出仲間,,,
田迎町大字田井島,,,
田迎町大字田迎,,,
田迎町大字良町,,,
田迎１丁目,,,
田迎２丁目,,,
田迎３丁目,,,
田迎４丁目,,,
田迎５丁目,,,
田迎６丁目,,,
町丁別の年齢５歳刻み一覧表,,,
画図町大字上無田,,,
画図町大字下江津,,,
画図町大字下無田,,,
画図町大字所島,,,
画図町大字重富,,,
畠口町,,,
白山１丁目,,,
白山２丁目,,,
白山３丁目,,,
白石町,,,
白藤町,,,
石原町,【秘匿】上南部３丁目を含みます,,
砂原町,,,
硯川町,,,
神水本町,,,
神水１丁目,,,
神水２丁目,,,
秋津新町,,,
秋津町沼山津,【秘匿】秋津町秋田を含みます,,
秋津町秋田,【秘匿】秋津町沼山津を含みます,,
秋津１丁目,,,
秋津２丁目,,,
秋津３丁目,,,
稗田町,,,
立福寺町,,,
米屋町１丁目,,,
米屋町２丁目,,,
米屋町３丁目,,,
細工町１丁目,,,
細工町２丁目,,,
細工町３丁目,,,
細工町４丁目,,,
細工町５丁目,,,
紺屋今町,,,
紺屋町１丁目,,,
紺屋町２丁目,,,
紺屋町３丁目,,,
紺屋阿弥陀寺町,,,
総数,664,315,349
練兵町,,,
美登里町,,,
船場町下１丁目,,,
船場町２丁目,,,
船場町３丁目,,,
花園１丁目,,,
花園２丁目,,,
花園３丁目,,,
花園４丁目,,,
花園５丁目,,,
花園６丁目,,,
花園７丁目,,,
花畑町,,,
花立１丁目,,,
花立２丁目,,,
花立３丁目,,,
花立４丁目,,,
花立５丁目,,,
花立６丁目,,,
若葉１丁目,,,
若葉２丁目,,,
若葉３丁目,,,
若葉４丁目,,,
若葉５丁目,,,
若葉６丁目,,,
草葉町,,,
荒尾町,【秘匿】白藤１丁目を含みます,,
菅原町,,,
萩原町,,,
蓮台寺町,,,
蓮台寺１丁目,,,
蓮台寺２丁目,,,
蓮台寺３丁目,,,
蓮台寺４丁目,,,
蓮台寺５丁目,,,
薄場町,,,
薬園町,,,
西原１丁目,,,
西原２丁目,,,
西原３丁目,,,
西唐人町,,,
西子飼町,,,
西梶尾町,,,
西阿弥陀寺町,,,
計,男,女,
護藤町,,,
谷尾崎町,,,
貢町,,,
辛島町,,,
迎町１丁目,,,
迎町２丁目,,,
近見町,,,
近見１丁目,,,
近見２丁目,,,
近見３丁目,,,
近見４丁目,,,
近見５丁目,【秘匿】近見６丁目を含みます,,
近見６丁目,【秘匿】流通団地２丁目、十禅寺３丁目、近見５丁目を含みます,,
近見７丁目,,,
近見８丁目,,,
近見９丁目,,,
通町,,,
野中１丁目,,,
野中２丁目,,,
野中３丁目,,,
野口町,【秘匿】白藤１丁目を含みます,,
野田町,,,
野田１丁目,,,
野田２丁目,【秘匿】元三町を含みます,,
野田３丁目,,,
釜尾町,,,
銭塘町,,,
錦ケ丘,,,
鍛冶屋町,,,
長嶺南１丁目,,,
長嶺南２丁目,,,
長嶺南３丁目,,,
長嶺南４丁目,,,
長嶺南５丁目,,,
長嶺南６丁目,,,
長嶺南７丁目,,,
長嶺南８丁目,,,
長嶺東１丁目,,,
長嶺東２丁目,,,
長嶺東３丁目,,,
長嶺東４丁目,,,
長嶺東５丁目,,,
長嶺東６丁目,,,
長嶺東７丁目,,,
長嶺東８丁目,,,
長嶺町,,,
長嶺西１丁目,,,
長嶺西２丁目,,,
長嶺西３丁目,,,
飛田町,,,
飛田１丁目,,,
飛田２丁目,,,
飛田３丁目,,,
飛田４丁目,,,
馬渡１丁目,,,
馬渡２丁目,,,
高平１丁目,,,
高平２丁目,,,
高平３丁目,,,
高橋町,,,
高江町,,,
魚屋町１丁目,,,
魚屋町２丁目,,,
魚屋町３丁目,,,
鶴羽田町,,,
鹿子木町,,,
鹿帰瀬町,,,
黒髪町大字坪井,,,
黒髪１丁目,,,
黒髪２丁目,,,
黒髪３丁目,,,
黒髪４丁目,,,
黒髪５丁目,,,
黒髪６丁目,【秘匿】黒髪８丁目を含みます,,
黒髪７丁目,,,
黒髪８丁目,【秘匿】黒髪６丁目を含みます,,
龍田町上立田,,,
龍田町弓削,,,
龍田町陳内,,,
