town,year,event_type,effect_direction,confidence,intensity,lag_t,lag_t1,source_url,source_name,publish_date,_score
大江2丁目,2018,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
大江2丁目,2019,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
大江3丁目,2016,disaster,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
大江3丁目,2016,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
大江3丁目,2016,public_edu_medical,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
大江3丁目,2017,commercial,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
大江3丁目,2017,disaster,increase,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
大江3丁目,2017,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
大江6丁目,2010,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
大江6丁目,2013,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
奥古閑町,2008,employment,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
奥古閑町,2008,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
孫代町,2015,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
孫代町,2015,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
宮内,2006,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
小山町,1999,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
小山町,2004,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
小峯4丁目,2006,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
小峯4丁目,2006,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
小峯4丁目,2019,commercial,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
小峯4丁目,2019,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
小峯4丁目,2019,transit,decrease,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
