town,year,delta_people,y_pred,fold,abs_err,signed_err
島崎6丁目,2019,-49.0,-45.08204707299761,1,3.917952927002389,3.917952927002389
本山4丁目,2021,-35.0,-31.082246670148514,3,3.917753329851486,3.917753329851486
帯山5丁目,2020,-39.0,-35.100511345180124,2,3.8994886548198764,3.8994886548198764
田迎5丁目,2020,-28.0,-24.13016467083202,2,3.86983532916798,3.86983532916798
四方寄町,2020,-42.0,-38.16096438836515,2,3.8390356116348485,3.8390356116348485
保田窪1丁目,2020,-53.0,-49.16818433764416,2,3.8318156623558366,3.8318156623558366
月出7丁目,2019,-30.0,-26.174369469409886,1,3.8256305305901144,3.8256305305901144
武蔵ケ丘9丁目,2019,-38.0,-34.20957897851991,1,3.7904210214800926,3.7904210214800926
武蔵ケ丘6丁目,2019,-25.0,-21.225859229906593,1,3.774140770093407,3.774140770093407
小峯2丁目,2019,108.0,104.22904727110785,1,3.770952728892155,-3.770952728892155
長嶺東4丁目,2020,-64.0,-60.231330668120634,2,3.768669331879366,3.768669331879366
島崎2丁目,2020,-76.0,-72.23807085069724,2,3.761929149302759,3.761929149302759
紺屋町2丁目,2022,48.0,44.239940465751005,4,3.7600595342489953,-3.7600595342489953
南熊本3丁目,2019,-17.0,-13.247110225028145,1,3.7528897749718553,3.7528897749718553
楠7丁目,2019,-33.0,-29.25112306504482,1,3.748876934955181,3.748876934955181
下南部2丁目,2019,-71.0,-67.25448904286219,1,3.7455109571378102,3.7455109571378102
川口町,2020,-38.0,-34.26139795246749,2,3.7386020475325097,3.7386020475325097
出水6丁目,2019,-78.0,-74.28391826336497,1,3.716081736635033,3.716081736635033
島崎6丁目,2020,-65.0,-61.29538600419004,2,3.7046139958099573,3.7046139958099573
画図町大字重富,2024,55.0,51.302322720766966,6,3.6976772792330337,-3.6976772792330337
近見8丁目,2022,32.0,28.316656255829333,4,3.683343744170667,-3.683343744170667
榎町,2024,32.0,28.316998015433192,6,3.6830019845668076,-3.6830019845668076
新町2丁目,2020,-35.0,-31.318277809613146,2,3.6817221903868536,3.6817221903868536
長嶺南5丁目,2019,-24.0,-20.318714310379406,1,3.6812856896205943,3.6812856896205943
健軍3丁目,2019,-44.0,-40.341645795300636,1,3.6583542046993642,3.6583542046993642
長嶺南1丁目,2022,-12.0,-8.375308523318504,4,3.6246914766814964,3.6246914766814964
下南部2丁目,2020,-20.0,-16.38330012000761,2,3.616699879992389,3.616699879992389
春日7丁目,2025,109.0,105.38566452928848,7,3.6143354707115236,-3.6143354707115236
本山町,2023,-6.0,-9.612087491739707,5,3.6120874917397074,-3.6120874917397074
二本木2丁目,2021,6.0,9.606082960457107,3,3.6060829604571065,3.6060829604571065
新屋敷2丁目,2020,-12.0,-15.59909110112717,2,3.5990911011271702,-3.5990911011271702
出町,2019,-36.0,-32.40216116957277,1,3.5978388304272286,3.5978388304272286
下南部3丁目,2020,-42.0,-38.40352250629451,2,3.5964774937054926,3.5964774937054926
護藤町,2022,44.0,40.408661539613924,4,3.5913384603860763,-3.5913384603860763
南熊本2丁目,2020,108.0,111.58659360632232,2,3.5865936063223245,3.5865936063223245
新屋敷1丁目,2019,-63.0,-59.414843914439594,1,3.5851560855604063,3.5851560855604063
本山町,2025,-21.0,-24.57413240735544,7,3.574132407355439,-3.574132407355439
近見8丁目,2021,-20.0,-16.44562963498803,3,3.5543703650119696,3.5543703650119696
八反田2丁目,2022,17.0,13.44686999350464,4,3.55313000649536,-3.55313000649536
明徳町,2019,-24.0,-20.44692846174704,1,3.5530715382529614,3.5530715382529614
春日4丁目,2019,-21.0,-17.451330049319015,1,3.548669950680985,3.548669950680985
佐土原1丁目,2021,-37.0,-33.45703360172196,3,3.5429663982780397,3.5429663982780397
梶尾町,2019,1.0,4.54165881368081,1,3.54165881368081,3.54165881368081
本山町,2024,92.0,95.54049997434743,6,3.5404999743474264,3.5404999743474264
水前寺公園,2020,-46.0,-42.462581336588016,2,3.5374186634119837,3.5374186634119837
清水本町,2019,-34.0,-30.463980080018302,1,3.5360199199816975,3.5360199199816975
御領2丁目,2020,61.0,57.484425288215654,2,3.515574711784346,-3.515574711784346
古大工町,2024,30.0,26.50659217133081,6,3.4934078286691914,-3.4934078286691914
帯山2丁目,2025,97.0,93.51291572131669,7,3.4870842786833123,-3.4870842786833123
八反田3丁目,2022,44.0,40.51443587684904,4,3.485564123150958,-3.485564123150958
壺川1丁目,2019,-42.0,-38.52280083181747,1,3.47719916818253,3.47719916818253
保田窪4丁目,2022,40.0,36.52700304981661,4,3.4729969501833935,-3.4729969501833935
坪井1丁目,2019,-44.0,-40.53559049638066,1,3.4644095036193434,3.4644095036193434
清水亀井町,2022,-52.0,-48.53613156501212,4,3.46386843498788,3.46386843498788
秋津3丁目,2019,-31.0,-27.53722109637073,1,3.462778903629271,3.462778903629271
近見6丁目,2024,109.0,105.55646415054349,6,3.4435358494565094,-3.4435358494565094
本山町,2021,-11.0,-7.561036760169228,3,3.4389632398307723,3.4389632398307723
東京塚町,2019,-36.0,-32.56972822071287,1,3.430271779287132,3.430271779287132
長嶺南5丁目,2023,-37.0,-33.57716377888941,5,3.422836221110593,3.422836221110593
錦ケ丘,2019,-24.0,-20.5799721623385,1,3.4200278376615003,3.4200278376615003
南熊本5丁目,2019,-32.0,-28.59076605135722,1,3.409233948642779,3.409233948642779
