town,year,pop_prev,pop_now,delta,growth_pct,class
田迎町大字良町,2000,5059.0,210.0,-4849.0,-0.958489820122554,jump_exception_decrease
田迎町大字良町,2001,210.0,45.0,-165.0,-0.7857142857142857,large_decrease
画図町大字上無田,2005,755.0,16.0,-739.0,-0.9788079470198676,jump_exception_decrease
画図町大字下江津,2005,2747.0,249.0,-2498.0,-0.9093556607207864,jump_exception_decrease
画図町大字下江津,2008,225.0,23.0,-202.0,-0.8977777777777778,jump_exception_decrease
画図町大字重富,2007,1389.0,1715.0,326.0,0.2347012239020878,jump_exception_increase
石原町,2004,1017.0,8.0,-1009.0,-0.992133726647001,jump_exception_decrease
硯川町,2019,616.0,748.0,132.0,0.2142857142857142,large_increase
神水本町,2000,1381.0,1653.0,272.0,0.1969587255611875,jump_exception_increase
神水本町,2018,1711.0,1912.0,201.0,0.1174751607247223,jump_exception_increase
秋津新町,2019,78.0,267.0,189.0,2.423076923076923,surge
秋津町沼山津,2010,13.0,51.0,38.0,2.923076923076923,large_increase
米屋町1丁目,2008,193.0,330.0,137.0,0.7098445595854922,surge
米屋町1丁目,2009,330.0,478.0,148.0,0.4484848484848485,large_increase
紺屋町1丁目,2002,24.0,83.0,59.0,2.4583333333333335,surge
紺屋町1丁目,2020,68.0,112.0,44.0,0.6470588235294118,large_increase
紺屋町2丁目,2022,33.0,81.0,48.0,1.4545454545454546,large_increase
船場町3丁目,2005,134.0,192.0,58.0,0.4328358208955223,large_increase
船場町下1丁目,2006,453.0,321.0,-132.0,-0.2913907284768212,large_decrease
草葉町,2003,275.0,396.0,121.0,0.44,large_increase
荒尾町,2001,332.0,0.0,-332.0,-1.0,jump_exception_decrease
蓮台寺5丁目,2010,0.0,143.0,143.0,143.0,surge
薄場町,2001,1947.0,33.0,-1914.0,-0.9830508474576272,jump_exception_decrease
西原3丁目,2015,901.0,637.0,-264.0,-0.293007769145394,jump_exception_decrease
西阿弥陀寺町,2025,48.0,107.0,59.0,1.2291666666666667,surge
辛島町,2001,1257.0,0.0,-1257.0,-1.0,jump_exception_decrease
辛島町,2008,0.0,675.0,675.0,675.0,jump_exception_increase
迎町1丁目,2017,677.0,870.0,193.0,0.2850812407680945,large_increase
近見1丁目,2001,360.0,1020.0,660.0,1.8333333333333333,jump_exception_increase
近見2丁目,2001,801.0,1290.0,489.0,0.6104868913857678,jump_exception_increase
近見8丁目,2002,1037.0,1429.0,392.0,0.3780135004821601,jump_exception_increase
近見8丁目,2004,1539.0,1776.0,237.0,0.1539961013645224,jump_exception_increase
近見町,2001,1311.0,129.0,-1182.0,-0.9016018306636157,jump_exception_decrease
野口町,2001,1505.0,0.0,-1505.0,-1.0,jump_exception_decrease
