町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
川口町,1764,845,919,29,47,51,80,83,54,54,67,76,104,102,113,131,152,201,134,120,98,45,20,3
川尻１丁目,325,147,178,12,13,7,7,7,5,8,11,23,25,19,18,24,34,32,28,18,18,13,2,1
川尻２丁目,206,96,110,14,8,6,7,10,7,12,14,16,17,19,14,6,14,18,11,3,3,4,3,0
川尻３丁目,547,256,291,22,25,33,13,14,20,17,26,29,28,35,23,28,58,54,43,33,31,12,2,1
川尻４丁目,597,270,327,24,26,31,25,22,22,18,23,41,47,20,31,28,48,56,39,51,23,17,3,2
川尻５丁目,253,118,135,4,10,7,11,10,5,9,13,20,23,10,13,16,23,19,19,18,9,11,3,0
川尻６丁目,430,205,225,20,10,15,15,9,20,15,16,27,24,20,26,27,32,48,33,35,23,9,5,1
河内町大多尾,290,131,159,9,3,6,8,9,9,12,8,11,14,16,24,21,22,26,31,26,18,12,4,1
河内町面木,38,18,20,0,0,0,0,1,1,0,1,1,0,5,3,4,8,4,1,3,3,2,1,0
河内町河内,1289,613,676,32,39,32,47,42,47,40,30,73,62,72,93,96,108,153,95,78,93,41,14,2
河内町白浜,805,387,418,21,25,24,37,32,39,24,36,28,40,54,65,48,48,77,69,63,45,24,5,1
河内町岳,724,342,382,18,33,37,23,15,18,19,30,51,44,32,48,64,67,69,40,56,34,16,9,1
河内町東門寺,122,63,59,2,6,1,1,6,5,8,6,3,4,7,10,16,9,10,6,6,12,3,1,0
河内町野出,635,312,323,20,20,11,23,22,23,23,20,21,29,29,52,57,59,62,44,54,39,16,10,1
河内町船津,1738,841,897,67,71,61,49,65,56,57,87,73,66,122,138,135,131,159,117,115,93,51,21,4
川端町,45,20,25,2,3,0,0,3,6,5,7,4,1,6,0,1,3,3,0,0,0,1,0,0
河原町,160,73,87,2,5,11,14,5,6,3,6,10,19,20,12,14,11,3,4,10,3,2,0,0
北迫町,205,88,117,13,12,13,8,8,12,11,11,15,8,9,14,8,11,19,6,10,11,4,2,0
北千反畑町,374,164,210,4,9,14,18,15,12,13,25,32,41,19,19,18,26,36,23,16,19,6,6,3
京塚本町,1678,778,900,54,88,97,82,77,46,59,81,117,140,111,100,96,109,160,92,76,44,30,16,3
京町１丁目,1311,626,685,44,49,63,44,89,46,43,74,81,101,103,96,76,102,91,80,51,42,20,15,1
京町２丁目,1768,790,978,90,78,99,74,84,81,104,103,123,137,120,140,95,102,119,64,65,53,26,9,2
京町本丁,1280,581,699,48,84,79,69,66,38,42,70,100,128,106,97,91,76,62,41,28,31,21,3,0
草葉町,540,245,295,14,21,16,18,46,43,20,30,39,44,51,42,32,29,29,22,15,25,2,2,0
楠１丁目,1123,470,653,22,27,53,64,30,25,34,21,46,80,68,63,68,83,134,102,106,63,24,9,1
楠２丁目,682,305,377,16,18,15,32,28,21,32,26,32,36,51,32,45,57,73,47,55,37,24,5,0
