町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
黒髪３丁目,777,355,422,28,13,12,50,95,57,53,45,43,28,54,51,45,40,45,43,36,26,6,6,1
黒髪４丁目,1132,580,552,42,35,46,70,121,80,58,86,57,60,49,63,70,62,71,53,51,27,18,10,3
黒髪５丁目,1377,679,698,49,38,41,81,165,97,70,95,87,59,65,67,98,62,79,71,72,38,33,9,1
黒髪６丁目,1958,977,981,64,66,62,102,141,125,115,119,106,105,92,129,153,138,127,123,92,65,27,6,1
黒髪７丁目,767,380,387,34,21,38,61,80,55,47,50,42,46,32,50,59,32,37,37,21,19,5,1,0
黒髪８丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黒髪町大字坪井,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神水１丁目,1857,796,1061,65,86,104,98,92,83,93,106,117,110,144,122,125,102,73,84,108,71,54,19,1
神水２丁目,755,356,399,34,27,43,24,48,52,62,61,65,51,58,39,66,32,30,25,18,10,10,0,0
神水本町,1671,773,898,47,77,101,110,61,74,72,108,128,159,125,111,122,92,96,74,57,33,18,5,1
慶徳堀町,20,5,15,0,0,0,1,2,0,3,1,4,1,0,0,0,1,0,4,2,0,0,1,0
健軍１丁目,1380,622,758,68,60,76,62,77,109,100,90,102,94,96,96,82,70,52,56,51,26,8,5,0
健軍２丁目,1050,477,573,35,52,62,92,89,73,65,84,85,73,69,61,70,34,34,28,32,11,1,0,0
健軍３丁目,2676,1251,1425,128,156,142,149,166,184,188,209,198,205,188,186,178,123,90,83,59,26,12,6,0
健軍４丁目,1802,824,978,85,59,80,79,99,106,133,132,132,123,128,108,145,94,98,83,58,41,12,4,3
健軍５丁目,188,90,98,13,15,6,8,4,8,9,17,7,16,9,12,12,12,11,9,12,7,1,0,0
健軍本町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小糸山町,394,192,202,28,33,14,24,24,29,33,38,33,25,21,23,24,16,12,8,5,4,0,0,0
幸田１丁目,492,242,250,27,21,24,25,35,32,21,27,31,37,32,33,39,29,23,28,15,6,5,2,0
幸田２丁目,765,357,408,72,65,46,33,39,49,72,66,56,57,38,35,40,17,29,24,16,5,4,2,0
紺屋阿弥陀寺町,22,11,11,0,0,0,1,0,2,2,3,0,0,2,2,1,1,1,3,2,2,0,0,0
紺屋今町,88,36,52,1,2,3,5,7,5,9,5,7,4,3,4,6,11,4,4,3,3,2,0,0
紺屋町１丁目,85,41,44,5,10,8,3,1,4,10,11,17,2,3,7,2,1,1,0,0,0,0,0,0
紺屋町２丁目,41,17,24,1,2,1,2,4,3,4,6,0,2,2,1,2,1,3,4,3,0,0,0,0
紺屋町３丁目,93,43,50,4,4,3,4,4,11,12,8,6,6,3,3,4,3,6,9,2,1,0,0,0
子飼本町,635,307,328,24,18,13,34,71,44,58,43,35,26,32,33,50,25,28,31,30,20,17,2,1
国府１丁目,1368,620,748,61,45,35,60,53,93,78,119,83,83,99,90,114,71,83,78,62,38,16,6,1
国府２丁目,1960,852,1108,83,91,89,108,106,97,108,120,106,116,134,130,148,105,114,111,105,57,26,6,0
国府３丁目,2971,1388,1583,117,136,185,164,185,171,179,237,218,245,221,198,231,136,109,95,77,39,21,6,1
国府４丁目,1214,564,650,49,47,56,75,60,67,78,73,92,91,89,97,94,47,43,56,54,29,11,6,0
国府本町,1304,620,684,59,61,76,82,60,85,74,81,83,91,85,81,120,70,65,59,34,24,9,5,0
小沢町,474,202,272,20,25,26,13,20,28,36,45,32,32,21,28,36,24,20,19,20,17,8,3,1
古城町,46,19,27,1,0,0,1,0,0,1,2,1,5,1,5,7,6,5,6,3,1,0,1,0
壺川１丁目,807,359,448,31,22,28,39,38,41,62,45,43,42,46,61,79,50,48,42,43,25,13,7,2
壺川２丁目,663,308,355,39,44,47,35,28,36,45,53,43,33,43,39,37,24,34,36,24,18,2,3,0
湖東１丁目,524,254,270,28,26,32,25,26,30,29,46,35,44,58,33,24,20,13,22,16,12,5,0,0
湖東２丁目,1122,521,601,19,33,41,57,68,69,50,61,54,60,71,86,85,86,84,80,60,33,21,4,0
湖東３丁目,839,396,443,30,31,30,34,37,47,54,42,50,59,52,67,67,44,49,55,46,30,10,4,1
琴平１丁目,800,376,424,27,30,29,20,59,50,61,59,45,41,35,52,55,41,51,67,35,29,10,4,0
琴平２丁目,941,453,488,41,55,62,43,49,53,61,77,60,64,49,73,82,48,38,32,31,10,10,2,1
琴平本町,1499,657,842,48,41,41,50,68,117,100,109,74,71,97,133,135,86,79,100,74,43,23,10,0
