町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
湖東２丁目,1276,603,673,52,54,73,53,42,49,57,83,83,103,95,73,68,77,79,85,71,52,16,8,3
湖東３丁目,793,373,420,27,34,26,34,26,25,44,35,46,52,58,54,53,55,69,38,55,30,24,6,2
琴平１丁目,750,375,375,19,17,25,35,52,66,49,54,38,42,50,52,32,40,49,35,29,40,22,3,1
琴平２丁目,896,431,465,33,29,33,43,60,63,55,62,60,57,59,44,58,51,57,65,32,19,10,6,0
琴平本町,1348,626,722,27,38,52,54,66,84,60,89,86,85,100,70,82,93,130,83,60,51,30,7,1
呉服町１丁目,80,32,48,2,4,2,4,5,2,0,2,7,8,7,6,2,2,3,5,10,5,3,1,0
呉服町２丁目,321,149,172,10,17,10,6,15,32,36,20,31,29,33,15,13,11,17,14,7,5,0,0,0
呉服町３丁目,332,130,202,20,24,17,14,15,17,15,25,27,33,29,27,19,11,14,11,10,2,1,1,0
米屋町１丁目,445,179,266,7,11,27,34,26,13,11,14,26,37,46,43,41,29,34,20,17,3,5,1,0
米屋町２丁目,277,116,161,10,2,7,3,21,32,19,16,15,18,17,22,19,23,14,14,11,10,3,1,0
米屋町３丁目,214,88,126,4,1,2,10,11,15,25,11,13,20,13,11,19,13,17,17,2,7,2,1,0
御領１丁目,1242,607,635,53,47,52,44,63,61,71,78,86,83,97,69,79,77,82,72,54,36,28,8,2
御領２丁目,1605,746,859,93,95,79,61,65,67,89,120,122,126,127,80,69,89,82,93,80,37,20,10,1
御領３丁目,1310,632,678,49,70,81,53,64,75,63,78,100,87,107,83,65,55,86,78,58,42,11,5,0
御領４丁目,312,144,168,30,12,11,8,17,29,34,21,8,14,19,18,30,12,19,6,14,6,3,1,0
御領５丁目,1292,644,648,90,75,76,50,50,122,103,103,102,109,66,72,46,52,61,50,31,22,10,2,0
