人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
画図町大字所島,764,366,398,61,81,80,48,48,45,65,85,80,62,67,92,102,61,49,29,33,20,21,1,0
江津１丁目,215,105,110,12,13,23,11,12,25,10,26,26,10,19,23,20,16,34,24,10,5,1,0,0
榎町,2142,1004,1138,108,137,195,205,131,129,162,198,193,233,202,258,258,193,191,154,133,48,15,3,0
大江１丁目,2268,1090,1178,104,124,178,163,306,294,224,198,228,232,190,247,214,178,154,115,94,77,28,9,1
大江２丁目,1021,537,484,62,24,60,77,159,116,113,85,79,99,133,128,95,78,56,68,56,39,26,5,0
大江３丁目,1080,514,566,97,89,96,89,69,116,124,131,167,135,115,93,72,51,48,37,40,13,9,3,0
大江４丁目,1696,744,952,89,127,137,114,130,154,163,174,152,208,196,131,189,142,97,79,81,48,18,9,2
大江５丁目,909,399,510,37,34,38,63,91,107,68,66,96,128,80,78,99,87,57,75,48,32,20,3,1
大江６丁目,1816,813,1003,188,152,155,159,122,143,170,275,275,212,154,124,118,110,90,55,60,45,14,3,5
大江本町,464,205,259,20,14,13,22,50,61,46,44,40,46,54,52,65,44,28,31,18,17,3,1,0
大窪１丁目,227,103,124,11,10,12,18,19,21,24,30,10,15,13,19,25,20,27,22,22,9,2,1,0
大窪２丁目,294,152,142,22,10,13,10,24,34,34,39,18,24,40,29,44,40,16,11,19,10,8,1,0
大窪３丁目,263,123,140,12,12,6,14,31,27,30,24,18,11,11,54,38,30,18,11,20,11,5,3,0
大窪４丁目,272,144,128,19,9,10,19,45,34,46,39,27,28,23,14,39,15,21,13,8,5,0,1,1
大窪５丁目,850,398,452,45,23,59,79,53,74,74,64,71,86,73,100,109,117,93,47,53,19,8,0,1
大鳥居町,237,114,123,17,5,15,11,26,26,12,17,20,11,26,41,30,13,15,19,28,15,3,0,1
岡田町,471,207,264,26,37,20,15,48,48,38,48,47,37,42,54,42,52,35,46,14,14,12,2,1
沖新町,1938,927,1011,108,116,165,147,154,183,125,118,168,224,217,174,195,193,173,152,148,67,31,4,3
奥古閑町,812,392,420,37,71,75,82,64,67,65,63,75,88,96,106,86,47,39,49,51,26,14,3,0
小島上町,114,57,57,4,4,5,4,15,6,4,10,11,13,8,12,18,20,12,12,4,8,1,0,0
小島下町,700,345,355,28,46,43,37,65,70,51,50,42,47,63,85,110,62,66,61,57,36,17,8,1
尾ノ上１丁目,1981,916,1065,132,112,139,156,140,182,187,224,208,220,202,223,223,151,131,95,95,55,16,6,0
尾ノ上２丁目,1748,844,904,123,164,166,194,163,159,150,194,179,225,219,220,158,78,63,69,35,27,6,0,0
尾ノ上３丁目,1289,598,691,108,79,92,115,107,117,137,126,134,118,159,133,127,83,79,44,63,50,11,5,0
尾ノ上４丁目,2397,1095,1302,203,153,213,214,187,257,217,288,279,313,216,206,219,160,119,101,68,48,24,6,1
帯山１丁目,2870,1291,1579,177,209,295,271,197,216,217,280,309,282,256,250,297,251,182,194,145,82,34,17,0
帯山２丁目,1695,760,935,101,124,167,198,151,131,148,191,183,197,183,148,142,102,96,81,51,44,10,7,0
帯山３丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
帯山５丁目,2543,1196,1347,97,157,201,247,225,181,155,201,245,228,300,268,267,192,194,187,231,120,32,11,0
帯山６丁目,954,459,495,70,82,78,60,65,92,68,97,96,92,78,107,98,63,60,72,75,42,17,1,0
帯山７丁目,2424,1161,1263,248,160,140,177,235,269,261,286,254,219,221,276,245,163,147,108,83,54,30,7,2
帯山８丁目,561,281,280,61,31,32,45,46,64,66,83,64,61,74,51,50,39,18,24,15,12,3,3,0
帯山９丁目,823,357,466,54,56,55,75,66,77,79,91,97,97,101,81,87,48,38,36,33,8,0,1,0
小峯１丁目,550,252,298,37,48,43,50,20,33,50,56,58,49,44,47,63,61,49,35,25,20,11,3,0
小峯２丁目,1009,465,544,62,75,71,65,76,111,118,113,96,98,107,112,134,94,51,38,26,16,10,1,0
小峯３丁目,901,423,478,76,52,58,67,61,121,92,116,93,76,88,97,101,75,52,41,30,19,8,1,0
小峯４丁目,80,37,43,0,3,15,16,3,1,1,1,12,10,19,8,5,6,8,2,2,4,1,0,0
小山町,444,182,262,7,10,19,20,18,17,9,24,17,38,35,37,68,51,70,46,47,49,31,13,0
鹿帰瀬町,334,167,167,22,8,10,26,21,28,33,28,17,31,33,50,59,34,23,21,29,21,4,3,0
梶尾町,3427,1617,1810,201,209,306,345,242,250,268,314,352,327,358,353,414,258,260,230,181,124,41,8,3
鍛冶屋町,58,29,29,0,0,0,4,8,13,13,6,7,10,7,3,1,2,4,4,1,3,1,0,0
春日１丁目,1269,571,698,114,82,79,67,79,82,130,143,165,160,148,122,156,91,62,66,50,27,12,5,0
春日２丁目,201,97,104,0,7,3,5,21,16,20,10,11,18,22,19,44,34,14,15,19,13,6,1,0
春日３丁目,319,138,181,18,14,12,7,19,85,67,43,30,16,12,20,23,14,19,22,18,14,4,0,0
春日４丁目,1251,588,663,73,65,73,78,92,107,95,136,131,107,97,134,155,125,125,88,62,65,21,8,2
春日５丁目,504,252,252,19,25,31,31,25,20,32,42,65,41,56,52,82,77,67,33,22,18,16,2,0
春日６丁目,383,173,210,17,13,21,14,16,35,27,21,42,35,31,40,41,43,37,32,49,25,14,2,1
春日７丁目,1533,736,797,115,119,105,103,114,172,132,187,157,116,126,142,158,127,124,91,84,61,26,10,0
春日８丁目,721,334,387,39,51,42,42,58,27,46,78,63,72,78,67,76,57,66,81,60,42,8,2,0
鹿子木町,1407,628,779,110,97,195,160,106,98,120,165,174,118,91,101,128,89,94,64,41,39,28,12,5
釜尾町,211,95,116,14,1,2,16,29,11,16,6,15,12,22,24,47,15,14,15,27,17,2,1,0
上鍛冶屋町,177,64,113,6,4,12,9,26,21,14,21,9,12,24,23,24,16,6,3,8,2,0,1,0
上京塚町,70,35,35,5,1,2,2,5,21,10,23,16,13,0,7,0,0,0,0,0,0,0,0,0
上熊本１丁目,1339,613,726,61,83,102,88,87,110,113,160,137,114,131,135,168,150,112,79,73,28,18,3,0
上熊本２丁目,764,359,405,51,64,67,66,72,53,58,107,102,90,67,80,79,44,42,22,17,32,10,0,0
上熊本３丁目,1705,774,931,91,143,119,138,230,178,137,172,158,143,171,216,176,119,118,62,55,37,11,3,2
上水前寺１丁目,468,219,249,31,23,14,19,34,68,64,64,51,48,30,35,44,45,36,30,11,28,7,5,0
上水前寺２丁目,839,389,450,51,66,58,48,71,55,71,72,66,85,89,95,100,100,60,60,49,24,5,3,0
上通町,211,102,109,12,7,6,7,11,13,25,13,16,11,16,33,41,27,23,20,14,11,5,2,0
上南部町,796,375,421,40,59,70,83,58,47,52,77,92,93,85,67,89,78,55,68,32,20,5,1,0
上林町,296,127,169,21,15,12,2,30,44,32,42,35,16,17,17,34,31,16,14,24,15,5,1,0
辛島町,802,375,427,88,115,94,64,36,72,85,91,84,95,48,62,58,61,37,23,37,13,11,3,0
川口町,2142,1031,1111,75,99,172,146,95,114,134,157,182,188,202,223,297,280,219,237,204,101,37,9,2
川尻１丁目,372,175,197,14,12,14,27,13,24,21,23,34,27,30,54,53,38,45,36,42,26,10,4,0
川尻２丁目,230,109,121,25,17,8,10,23,26,24,35,36,23,13,12,29,21,8,7,8,12,1,1,0
川尻３丁目,634,297,337,51,31,27,37,43,50,50,47,34,59,46,68,97,75,62,62,44,29,15,3,1
川尻４丁目,649,299,350,38,48,41,30,35,42,47,83,47,48,35,51,87,82,67,78,39,35,10,5,0
川尻５丁目,314,138,176,17,15,26,17,15,25,27,29,24,26,30,29,29,39,22,29,30,17,6,0,0
川尻６丁目,475,222,253,24,19,14,36,20,31,35,43,33,28,53,43,75,64,57,61,31,17,9,4,0
河内町大多尾,359,170,189,6,7,28,36,23,13,13,22,27,26,40,33,41,49,48,46,38,22,6,4,1
河内町面木,67,28,39,4,0,7,2,8,3,1,2,2,10,5,12,9,4,5,6,8,4,3,0,0
河内町河内,1545,728,817,51,61,86,106,89,92,115,104,92,149,141,177,215,170,154,163,156,101,33,16,2
河内町白浜,881,416,465,33,43,55,80,53,56,46,51,63,107,95,54,116,103,110,92,77,46,11,4,2
河内町岳,780,371,409,58,36,21,36,46,60,51,56,51,59,83,108,101,93,87,84,48,38,22,11,2
河内町東門寺,148,76,72,7,4,5,12,13,15,6,10,7,10,25,14,21,11,17,17,15,8,7,0,0
河内町野出,706,343,363,18,29,46,45,52,52,36,44,41,63,76,91,88,86,87,74,56,42,15,7,1
河内町船津,1971,949,1022,102,76,115,141,107,141,140,97,138,198,204,200,259,225,185,210,205,124,44,8,1
川端町,43,21,22,0,0,0,3,12,13,3,7,3,6,3,3,3,4,1,0,0,2,1,0,0
河原町,169,79,90,15,29,7,10,5,8,10,33,28,20,21,16,9,5,12,10,7,3,0,0,0
北迫町,196,96,100,9,8,12,19,29,2,18,18,13,19,11,15,28,18,13,29,13,15,3,0,0
北千反畑町,442,193,249,18,29,15,21,24,57,49,49,53,32,26,39,47,39,37,33,38,11,12,6,0
京塚本町,1702,777,925,103,129,148,91,93,104,129,185,179,150,133,138,232,187,137,121,89,74,42,14,1
京町１丁目,1331,592,739,93,58,87,98,73,90,100,153,156,152,127,147,138,117,131,83,59,39,15,7,0
京町２丁目,288,141,147,13,17,27,28,30,14,25,27,35,42,48,29,20,21,13,10,14,14,1,1,0
草葉町,526,213,313,24,32,40,20,33,49,45,59,74,70,65,37,52,29,34,31,31,9,4,1,0
楠１丁目,1328,555,773,67,99,111,66,56,54,57,123,117,84,101,98,141,153,174,188,109,59,18,7,1
楠２丁目,636,308,328,24,30,46,58,37,44,24,56,68,60,40,57,83,49,87,71,74,29,6,1,0
楠３丁目,377,145,232,11,18,16,14,6,21,22,19,17,25,26,31,34,64,42,69,55,20,11,1,0
楠４丁目,942,436,506,19,32,79,78,69,57,56,66,72,70,71,93,150,117,129,97,77,30,15,1,0
