人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
本荘１丁目,50.0,3.0,47.0,0.0,0.0,0.0,0.0,19.0,11.0,10.0,5.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
本荘２丁目,600.0,270.0,330.0,38.0,33.0,41.0,44.0,86.0,67.0,52.0,44.0,46.0,66.0,68.0,46.0,53.0,64.0,58.0,36.0,18.0,10.0,0.0,0.0,0.0
本荘３丁目,513.0,211.0,302.0,23.0,29.0,14.0,19.0,103.0,105.0,82.0,47.0,41.0,61.0,50.0,22.0,32.0,32.0,22.0,18.0,10.0,12.0,1.0,1.0,0.0
本荘４丁目,516.0,205.0,311.0,22.0,20.0,33.0,32.0,88.0,101.0,58.0,47.0,46.0,45.0,46.0,43.0,39.0,43.0,27.0,17.0,6.0,8.0,0.0,0.0,0.0
本荘５丁目,1178.0,524.0,654.0,59.0,64.0,45.0,83.0,130.0,169.0,132.0,83.0,84.0,122.0,118.0,124.0,115.0,102.0,104.0,76.0,59.0,18.0,10.0,3.0,2.0
本荘６丁目,906.0,435.0,471.0,42.0,44.0,35.0,43.0,138.0,137.0,129.0,77.0,70.0,90.0,91.0,83.0,118.0,71.0,50.0,53.0,33.0,29.0,7.0,1.0,0.0
本荘町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
本丸,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
孫代町,462.0,219.0,243.0,35.0,33.0,31.0,54.0,57.0,41.0,37.0,32.0,49.0,71.0,62.0,37.0,29.0,29.0,38.0,20.0,14.0,6.0,6.0,0.0,0.0
松尾町上松尾,3523.0,1684.0,1839.0,212.0,240.0,276.0,308.0,347.0,348.0,300.0,305.0,296.0,447.0,432.0,399.0,358.0,316.0,260.0,163.0,113.0,70.0,14.0,3.0,0.0
松尾町近津,512.0,240.0,272.0,20.0,24.0,52.0,45.0,41.0,36.0,23.0,43.0,64.0,66.0,45.0,44.0,46.0,55.0,68.0,43.0,21.0,14.0,2.0,0.0,0.0
松尾町平山,243.0,123.0,120.0,15.0,21.0,19.0,12.0,20.0,27.0,24.0,17.0,20.0,19.0,21.0,27.0,26.0,44.0,25.0,10.0,9.0,5.0,5.0,0.0,0.0
松原町,19.0,9.0,10.0,0.0,0.0,1.0,5.0,1.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
馬渡１丁目,200.0,96.0,104.0,54.0,14.0,19.0,7.0,14.0,48.0,70.0,35.0,18.0,9.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
馬渡２丁目,646.0,328.0,318.0,195.0,80.0,40.0,25.0,32.0,122.0,229.0,122.0,50.0,36.0,21.0,11.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
万楽寺町,312.0,150.0,162.0,13.0,23.0,31.0,35.0,27.0,17.0,29.0,23.0,28.0,47.0,27.0,21.0,45.0,26.0,31.0,18.0,11.0,5.0,5.0,0.0,0.0
貢町,908.0,463.0,445.0,84.0,78.0,91.0,78.0,94.0,67.0,102.0,75.0,87.0,102.0,93.0,66.0,107.0,97.0,59.0,41.0,31.0,10.0,8.0,1.0,0.0
美登里町,665.0,306.0,359.0,31.0,22.0,61.0,80.0,50.0,37.0,52.0,28.0,51.0,96.0,86.0,55.0,78.0,65.0,48.0,70.0,30.0,23.0,8.0,0.0,0.0
南熊本１丁目,436.0,214.0,222.0,21.0,23.0,5.0,23.0,70.0,66.0,49.0,35.0,35.0,52.0,39.0,40.0,66.0,27.0,55.0,24.0,15.0,5.0,0.0,0.0,0.0
南熊本２丁目,185.0,82.0,103.0,5.0,5.0,5.0,14.0,19.0,31.0,18.0,9.0,19.0,21.0,23.0,19.0,19.0,14.0,12.0,18.0,10.0,3.0,3.0,0.0,0.0
