町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
琴平本町,1572.0,673.0,899.0,43.0,46.0,39.0,57.0,117.0,111.0,121.0,93.0,70.0,79.0,114.0,153.0,96.0,84.0,115.0,83.0,79.0,46.0,23.0,3.0,0.0
呉服町１丁目,82.0,32.0,50.0,3.0,2.0,5.0,3.0,2.0,4.0,4.0,8.0,6.0,4.0,4.0,4.0,8.0,7.0,8.0,4.0,2.0,2.0,1.0,1.0,0.0
呉服町２丁目,227.0,95.0,132.0,11.0,10.0,7.0,9.0,14.0,30.0,26.0,29.0,10.0,11.0,15.0,19.0,12.0,12.0,3.0,4.0,2.0,1.0,1.0,1.0,0.0
呉服町３丁目,133.0,64.0,69.0,6.0,10.0,7.0,8.0,4.0,4.0,7.0,13.0,9.0,8.0,8.0,12.0,14.0,9.0,2.0,7.0,2.0,3.0,0.0,0.0,0.0
米屋町１丁目,193.0,81.0,112.0,7.0,7.0,4.0,4.0,10.0,14.0,25.0,16.0,12.0,17.0,19.0,20.0,12.0,12.0,6.0,3.0,3.0,2.0,0.0,0.0,0.0
米屋町２丁目,279.0,116.0,163.0,6.0,12.0,17.0,15.0,17.0,17.0,15.0,17.0,18.0,27.0,22.0,25.0,16.0,14.0,20.0,12.0,2.0,4.0,1.0,2.0,0.0
米屋町３丁目,223.0,92.0,131.0,13.0,18.0,9.0,5.0,17.0,24.0,15.0,14.0,16.0,13.0,16.0,24.0,12.0,3.0,8.0,6.0,7.0,2.0,1.0,0.0,0.0
御領１丁目,1429.0,701.0,728.0,105.0,79.0,76.0,77.0,112.0,101.0,147.0,104.0,91.0,104.0,86.0,109.0,67.0,54.0,37.0,31.0,29.0,12.0,6.0,2.0,0.0
御領２丁目,1385.0,658.0,727.0,88.0,77.0,61.0,54.0,70.0,125.0,140.0,102.0,80.0,68.0,98.0,97.0,78.0,84.0,54.0,40.0,34.0,25.0,8.0,2.0,0.0
御領３丁目,1336.0,643.0,693.0,79.0,113.0,88.0,52.0,61.0,102.0,131.0,111.0,97.0,76.0,60.0,100.0,81.0,57.0,62.0,24.0,27.0,9.0,6.0,0.0,0.0
御領４丁目,337.0,162.0,175.0,21.0,31.0,21.0,27.0,15.0,21.0,24.0,24.0,32.0,27.0,22.0,15.0,9.0,17.0,8.0,10.0,6.0,5.0,1.0,1.0,0.0
御領５丁目,841.0,421.0,420.0,46.0,44.0,46.0,34.0,70.0,81.0,84.0,53.0,43.0,57.0,74.0,55.0,44.0,34.0,29.0,22.0,14.0,8.0,3.0,0.0,0.0
御領６丁目,326.0,179.0,147.0,21.0,13.0,13.0,14.0,30.0,52.0,46.0,29.0,14.0,17.0,20.0,19.0,15.0,11.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0
御領７丁目,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
護藤町,1383.0,652.0,731.0,46.0,53.0,77.0,67.0,76.0,69.0,79.0,53.0,81.0,89.0,104.0,125.0,89.0,93.0,82.0,64.0,71.0,34.0,20.0,9.0,2.0
細工町１丁目,102.0,46.0,56.0,3.0,10.0,11.0,2.0,5.0,3.0,8.0,4.0,8.0,9.0,2.0,4.0,8.0,5.0,7.0,8.0,4.0,0.0,0.0,1.0,0.0
細工町２丁目,48.0,25.0,23.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,4.0,4.0,3.0,1.0,2.0,7.0,0.0,1.0,0.0,0.0
細工町３丁目,177.0,68.0,109.0,7.0,4.0,7.0,9.0,15.0,13.0,11.0,8.0,11.0,14.0,11.0,15.0,12.0,14.0,12.0,7.0,4.0,2.0,1.0,0.0,0.0
細工町４丁目,212.0,84.0,128.0,10.0,11.0,5.0,6.0,14.0,7.0,24.0,12.0,10.0,13.0,16.0,26.0,14.0,14.0,9.0,1.0,13.0,4.0,3.0,0.0,0.0
細工町５丁目,46.0,20.0,26.0,3.0,2.0,1.0,2.0,2.0,5.0,7.0,5.0,0.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0
栄町,635.0,282.0,353.0,40.0,41.0,39.0,27.0,25.0,27.0,50.0,50.0,29.0,43.0,41.0,39.0,25.0,30.0,34.0,36.0,37.0,14.0,8.0,0.0,0.0
桜木１丁目,856.0,407.0,449.0,47.0,58.0,68.0,46.0,45.0,47.0,61.0,79.0,66.0,58.0,56.0,54.0,41.0,44.0,31.0,23.0,15.0,13.0,4.0,0.0,0.0
